run_id,mode,seed,episode,replay_buffer_size,train_updates,mean_loss,epsilon,q_value_mean_if_available,q_value_std_if_available
diag_rawlsian_seed0,rawlsian,0,1,62,0,,0.9762,0.06046247482299805,0.03729225695133209
diag_rawlsian_seed0,rawlsian,0,2,77,14,6.827924524034772,0.9525,0.1435074508190155,0.12813793122768402
diag_rawlsian_seed0,rawlsian,0,3,101,24,6.1913135051727295,0.9287,0.6086959838867188,0.29100915789604187
diag_rawlsian_seed0,rawlsian,0,4,107,6,5.671595096588135,0.905,0.9544541239738464,0.33874040842056274
diag_rawlsian_seed0,rawlsian,0,5,120,13,5.614820370307336,0.8812,1.8529330492019653,0.35219302773475647
diag_rawlsian_seed0,rawlsian,0,6,133,13,5.058188695173997,0.8575,3.1459896564483643,0.5535558462142944
diag_rawlsian_seed0,rawlsian,0,7,165,32,3.4968005567789078,0.8337,0.8031414151191711,4.425889015197754
diag_rawlsian_seed0,rawlsian,0,8,179,14,1.9144999384880066,0.81,5.770443916320801,2.2211592197418213
diag_rawlsian_seed0,rawlsian,0,9,194,15,1.4181973377863566,0.7863,9.186446189880371,1.7263286113739014
diag_rawlsian_seed0,rawlsian,0,10,207,13,1.1280332253529475,0.7625,9.425905227661133,1.4290988445281982
diag_rawlsian_seed0,rawlsian,0,11,216,9,1.0868467092514038,0.7388,9.35588264465332,0.9693213105201721
diag_rawlsian_seed0,rawlsian,0,12,229,13,1.0777096381554236,0.715,9.151267051696777,0.9040839672088623
diag_rawlsian_seed0,rawlsian,0,13,236,7,1.0389532787459237,0.6913,8.871708869934082,1.229318380355835
diag_rawlsian_seed0,rawlsian,0,14,249,13,0.9330059427481431,0.6675,6.625399112701416,1.7115750312805176
diag_rawlsian_seed0,rawlsian,0,15,259,10,0.9116451501846313,0.6438,9.196650505065918,1.0997751951217651
diag_rawlsian_seed0,rawlsian,0,16,267,8,0.8341614603996277,0.62,8.292458534240723,1.1187210083007812
diag_rawlsian_seed0,rawlsian,0,17,288,21,0.7848667275337946,0.5962,8.117241859436035,1.2131049633026123
diag_rawlsian_seed0,rawlsian,0,18,298,10,1.0717702805995941,0.5725,7.8009490966796875,1.2322286367416382
diag_rawlsian_seed0,rawlsian,0,19,306,8,0.8936769291758537,0.5488,8.964717864990234,0.909938395023346
diag_rawlsian_seed0,rawlsian,0,20,317,11,0.9649501930583607,0.525,7.16168212890625,1.9579150676727295
diag_rawlsian_seed0,rawlsian,0,21,327,10,1.016884434223175,0.5012,8.742937088012695,1.0715080499649048
diag_rawlsian_seed0,rawlsian,0,22,339,12,0.9309508055448532,0.4775,6.774898529052734,1.8585875034332275
diag_rawlsian_seed0,rawlsian,0,23,355,16,0.8567599467933178,0.4538,8.740439414978027,0.8109269142150879
diag_rawlsian_seed0,rawlsian,0,24,361,6,1.0108939210573833,0.43,8.803145408630371,0.9912382960319519
