run_id,mode,seed,phase,episode,episode_objective_reward,mean_step_reward,min_step_reward,max_step_reward,collision_penalty_triggered,mean_ttc,min_ttc,mean_waiting_time,final_waiting_time
diag_egoistic_seed0,egoistic,0,train,4,-0.7049,-0.0881,-1.045,0.0571,1,0.9780962693092173,0.9780962693092173,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,5,1.4646,0.1221,0.0292,1.0477,0,14.766141144050543,8.722794437669814,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,6,-0.9881,-0.1412,-1.1872,0.0604,1,0.6843002956807036,0.4028287202662946,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,7,1.4659,0.1222,0.0272,1.0426,0,14.475029256972057,6.835207209872235,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,8,1.1773,0.031,-0.012,1.008,0,170.90553316070918,170.90553316070918,7.7368,12.0
diag_egoistic_seed0,egoistic,0,train,9,0.3583,0.0326,-0.002,0.0413,1,12.777520423760109,1.8741912154378841,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,10,1.3836,0.1153,0.0275,0.9822,0,8.56812870100804,1.171163202772787,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,11,-0.7637,-0.0849,-1.117,0.0672,1,1.3911160510755511,0.5416159719078133,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,12,1.5209,0.0724,0.0153,1.0353,0,83.49752440968277,83.49752440968277,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,13,-0.8125,-0.1161,-1.1305,0.0597,1,0.5249346358373931,0.5249346358373931,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,14,-0.8836,-0.1262,-1.1841,0.0701,1,0.3924867894583932,0.3924867894583932,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,15,1.4293,0.0572,-0.008,1.0572,0,20.978793853955157,20.978793853955157,5.36,8.0
diag_egoistic_seed0,egoistic,0,train,16,1.5041,0.1074,0.0305,1.0426,0,94.83897356783893,12.762436276534077,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,17,1.8598,0.124,0.0407,1.0303,0,2.476313580277137,2.476313580277137,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,18,1.4785,0.0739,0.0008,1.0404,0,218.81283520105058,214.64347838266525,0.85,1.0
diag_egoistic_seed0,egoistic,0,train,19,1.4956,0.0997,0.0214,1.051,0,30.5623963587396,9.64351987097236,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,20,-0.6047,-0.0756,-0.9618,0.0582,1,,,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,21,1.4928,0.0878,0.0202,1.0393,0,110.47506491670056,110.47506491670056,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,22,-0.8064,-0.1008,-1.1452,0.0586,1,1.8386922111701798,0.4898026936521686,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,23,1.4507,0.0967,0.0228,1.0489,0,61.176515757755176,14.199985425758976,0.0,0.0
diag_egoistic_seed0,egoistic,0,train,24,0.5059,0.046,0.0239,0.0622,1,2.6103973946495276,2.6103973946495276,0.0,0.0
diag_egoistic_seed0,egoistic,0,eval,0,-2.6632,-0.0444,-1.058,0.0259,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,1,-2.651,-0.0442,-1.058,0.03,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,2,-2.6686,-0.0445,-1.058,0.0241,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,3,-2.6793,-0.0447,-1.058,0.0206,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,4,-2.6637,-0.0444,-1.058,0.0258,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,5,-2.6578,-0.0443,-1.058,0.0277,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,6,-2.6741,-0.0446,-1.058,0.0223,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,7,-2.6759,-0.0446,-1.058,0.0217,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,8,-2.6569,-0.0443,-1.058,0.028,0,,,28.5167,58.0
diag_egoistic_seed0,egoistic,0,eval,9,-2.6661,-0.0444,-1.058,0.025,0,,,28.5167,58.0
diag_rawlsian_seed0,rawlsian,0,train,0,-212.7836,-5.0663,-14.0,8.0898,0,,,8.2857,15.0
diag_rawlsian_seed0,rawlsian,0,train,1,145.4531,7.2727,3.6047,9.4406,0,2.7398943638891144,2.7398943638891144,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,2,115.2681,7.6845,5.8706,10.7755,0,28.492019027069418,15.268486804424734,0.0,0.0
diag_rawlsian_seed0,rawlsian,0,train,3,19.2059,0.8002,-7.4163,6.0217,0,,,3.0417,5.0
diag_rawlsian_seed0,rawlsian,0,train,4,52.5668,8.7611,7.0945,9.0945,1,1.2706479756563063,0.36220978263372183,0.0,0.0
