master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,block_index,evaluation_seed,controller_A_role,controller_B_role,success,collision,terminated,truncated,termination_reason,episode_length,passing_order,first_exit_controller,first_exit_step,second_exit_step,merge_entry_step_A,merge_entry_step_B,final_progress_A,final_progress_B,final_speed_A,final_speed_B,minimum_TTC,minimum_bumper_gap,mean_stakeholder_utility,minimum_stakeholder_utility,utility_A,utility_B,roles0_A,roles0_B,evaluation_guard,condition,primary_failure_label,secondary_flags_json,median_Q_margin_final50,q_margin_band,reason,flag_environment_or_exit_anomaly,flag_post_exit_survivor_stall,flag_mutual_yielding,flag_merge_zone_deadlock,flag_unilateral_stall,flag_downstream_completion_failure,flag_oscillatory_control,flag_persistent_accelerate_conflict,flag_stable_but_maladaptive,flag_low_confidence_policy,flag_other_unresolved
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_003,1,2,566007,ramp,mainline,False,False,False,True,truncation,400,,B,108.0,,,,125.54666666667346,260.35666666666634,0.7999999999999999,0.0,,,0.5327218908861013,0.0554249999999999,0.0554249999999999,0.5423148148148145,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,downstream_completion_failure,[],0.0154247879981994,above_25th_percentile,primary=downstream_completion_failure; secondary=[]; q_band=above_25th_percentile,False,False,False,False,False,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_004,0,3,566008,mainline,ramp,False,False,False,True,truncation,400,,B,52.0,,,,87.79999999999998,261.00000000000153,0.0,0.0,,24.261866963179045,0.5205018629754276,0.03525,0.03525,0.9950000000000024,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.0308291912078857,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_004,1,3,566009,ramp,mainline,False,False,False,True,truncation,400,,A,56.0,,,,260.62000000000177,87.19999999999999,0.0,0.0,,22.40700307148755,0.519912575078556,0.034875,0.993392857142858,0.034875,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.01904936134815215,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_005,0,4,566010,mainline,ramp,False,False,False,True,truncation,400,,B,58.0,,,,81.06666666666655,260.560000000002,0.0,0.0,,28.45347523860582,0.4945657295768818,0.0276749999999999,0.0276749999999999,0.911034482758624,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.03447616100311275,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_005,1,4,566011,ramp,mainline,False,False,False,True,truncation,400,,A,57.0,,,,261.2700000000007,81.06666666666655,0.0,0.0,,25.811167611886148,0.5090878106416123,0.0276749999999999,0.9691228070175462,0.0276749999999999,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.01894034445285795,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_006,0,5,566012,mainline,ramp,False,False,False,True,truncation,400,,B,58.0,,,,81.06666666666655,260.76000000000033,0.0,0.0,,27.35347523860571,0.5004558712573082,0.0276749999999999,0.0276749999999999,0.9353448275862098,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.034547567367553704,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_006,1,5,566013,ramp,mainline,False,False,False,True,truncation,400,,A,57.0,,,,261.20000000000067,81.06666666666655,0.0,0.0,,24.620351678469945,0.507584576641458,0.0276749999999999,0.9638596491228092,0.0276749999999999,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.01894389092922205,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_007,0,6,566014,mainline,ramp,False,False,False,True,truncation,400,,B,49.0,,,,94.66666666666676,261.2000000000009,0.0,0.0,,24.732721637572453,0.5230084738623539,0.042925,0.042925,0.9930612244897962,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.027021169662475548,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_007,1,6,566015,ramp,mainline,False,False,False,True,truncation,400,,A,45.0,,,,260.9800000000011,110.50666666666682,0.0,0.0,,22.98607740985884,0.5280265260432163,0.052825,0.9933333333333334,0.052825,ramp,mainline,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.01989330351352685,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
61002,100000,3440b62063dddb4cf8cfcf965776613cc631d684f38754e9c4f6a122e6e7e63a,validation_008,0,7,566016,mainline,ramp,False,False,False,True,truncation,400,,B,56.0,,,,81.06666666666655,260.2000000000004,0.0,0.0,,24.733303698942365,0.5066821591849711,0.0276749999999999,0.0276749999999999,0.9550000000000028,mainline,ramp,"{'optimizer_steps': 0, 'replay_writes': 0, 'target_syncs': 0, 'epsilon_updates': 0, 'network_updates': 0}",baseline,unilateral_stall,['downstream_completion_failure'],0.034347683191299404,above_25th_percentile,primary=unilateral_stall; secondary=['downstream_completion_failure']; q_band=above_25th_percentile,False,False,False,False,True,True,False,False,False,False,False
