controller_id,reward_condition,policy_step,kind,terminated,truncated,controller_terminal,next_observation_is_none,target,learner_reward
A,min_pbrs,13,ongoing,False,False,False,False,0.0063072687862772096,0.0063072687862772096
B,min_pbrs,13,ongoing,False,False,False,False,0.006917487449369686,0.006917487449369686
A,min_pbrs,14,ongoing,False,False,False,False,0.0065098378674467,0.0065098378674467
B,min_pbrs,14,ongoing,False,False,False,False,0.0071199666878906335,0.0071199666878906335
A,min_pbrs,15,ongoing,False,False,False,False,0.0066856291933902415,0.0066856291933902415
B,min_pbrs,15,ongoing,False,False,False,False,0.007295668171185588,0.007295668171185588
A,min_pbrs,16,ongoing,False,False,False,False,0.006838529759519352,0.006838529759519352
B,min_pbrs,16,ongoing,False,False,False,False,0.007448478894666156,0.007448478894666156
A,min_pbrs,17,ongoing,False,False,False,False,0.0069717824852445045,0.0069717824852445045
B,min_pbrs,17,ongoing,False,False,False,False,0.007581641777742764,0.007581641777742764
A,min_pbrs,18,ongoing,False,False,False,False,0.007088149805618671,0.007088149805618671
B,min_pbrs,18,ongoing,False,False,False,False,0.007697919255468389,0.007697919255468389
A,min_pbrs,19,ongoing,False,False,False,False,0.007189164844079211,0.007189164844079211
B,min_pbrs,19,ongoing,False,False,False,False,0.0077988444512803404,0.0077988444512803404
A,min_pbrs,20,controller_terminal,True,False,True,True,-1.1812583275503363,-1.1812583275503363
B,min_pbrs,20,controller_terminal,True,False,True,True,-1.18110592168645,-1.18110592168645
A,mean_pbrs,1,ongoing,False,False,False,False,0.003051968213547607,0.003051968213547607
B,mean_pbrs,1,ongoing,False,False,False,False,0.0036017714482085962,0.0036017714482085962
A,mean_pbrs,2,ongoing,False,False,False,False,0.0037934341026473308,0.0037934341026473308
B,mean_pbrs,2,ongoing,False,False,False,False,0.004220160414231406,0.004220160414231406
A,mean_pbrs,3,ongoing,False,False,False,False,0.00433081642262827,0.00433081642262827
B,mean_pbrs,3,ongoing,False,False,False,False,0.004634465811135403,0.004634465811135403
A,mean_pbrs,4,ongoing,False,False,False,False,0.004747220898694715,0.004747220898694715
B,mean_pbrs,4,ongoing,False,False,False,False,0.004927793364124933,0.004927793364124933
A,mean_pbrs,5,ongoing,False,False,False,False,0.005085842458560708,0.005085842458560708
B,mean_pbrs,5,ongoing,False,False,False,False,0.005143338000914011,0.005143338000914011
A,mean_pbrs,6,ongoing,False,False,False,False,0.005371323083132751,0.005371323083132751
B,mean_pbrs,6,ongoing,False,False,False,False,0.005305741702409128,0.005305741702409128
A,mean_pbrs,7,ongoing,False,False,False,False,0.005618739259240358,0.005618739259240358
B,mean_pbrs,7,ongoing,False,False,False,False,0.005430080955439809,0.005430080955439809
A,mean_pbrs,8,ongoing,False,False,False,False,0.00583783588754121,0.00583783588754121
B,mean_pbrs,8,ongoing,False,False,False,False,0.005526100660663736,0.005526100660663736
A,mean_pbrs,9,ongoing,False,False,False,False,0.0060351990011167315,0.0060351990011167315
B,mean_pbrs,9,ongoing,False,False,False,False,0.005600386851162321,0.005600386851162321
A,mean_pbrs,10,ongoing,False,False,False,False,0.0062154486153361615,0.0062154486153361615
B,mean_pbrs,10,ongoing,False,False,False,False,0.005657559542304847,0.005657559542304847
A,mean_pbrs,11,ongoing,False,False,False,False,0.005386930622781661,0.005386930622781661
B,mean_pbrs,11,ongoing,False,False,False,False,0.00470596462667342,0.00470596462667342
A,mean_pbrs,12,ongoing,False,False,False,False,0.0055471369739410695,0.0055471369739410695
B,mean_pbrs,12,ongoing,False,False,False,False,0.004743094054755948,0.004743094054755948
A,mean_pbrs,13,ongoing,False,False,False,False,0.005697971042723182,0.005697971042723182
B,mean_pbrs,13,ongoing,False,False,False,False,0.004770851200461102,0.004770851200461102
A,mean_pbrs,14,ongoing,False,False,False,False,0.005840921005323208,0.005840921005323208
B,mean_pbrs,14,ongoing,False,False,False,False,0.004790724239984234,0.004790724239984234
A,mean_pbrs,15,ongoing,False,False,False,False,0.005977176529116846,0.005977176529116846
B,mean_pbrs,15,ongoing,False,False,False,False,0.004803902840700914,0.004803902840700914
A,mean_pbrs,16,ongoing,False,False,False,False,0.00610770936295677,0.00610770936295677
B,mean_pbrs,16,ongoing,False,False,False,False,0.004811358751463924,0.004811358751463924
A,mean_pbrs,17,ongoing,False,False,False,False,0.006233330236695767,0.006233330236695767
B,mean_pbrs,17,ongoing,False,False,False,False,0.004813902702126028,0.004813902702126028
A,mean_pbrs,18,ongoing,False,False,False,False,0.006354729759096988,0.006354729759096988
B,mean_pbrs,18,ongoing,False,False,False,False,0.0048122253014503125,0.0048122253014503125
A,mean_pbrs,19,ongoing,False,False,False,False,0.00647245906015872,0.00647245906015872
B,mean_pbrs,19,ongoing,False,False,False,False,0.0048068776794351065,0.0048068776794351065
A,mean_pbrs,20,ongoing,False,False,False,False,0.006585713358546341,0.006585713358546341
B,mean_pbrs,20,ongoing,False,False,False,False,0.004797055054745836,0.004797055054745836
A,mean_pbrs,21,ongoing,False,False,False,False,0.006697898586124906,0.006697898586124906
B,mean_pbrs,21,ongoing,False,False,False,False,0.004786163359247442,0.004786163359247442
A,mean_pbrs,22,ongoing,False,False,False,False,0.006810451253275463,0.006810451253275463
B,mean_pbrs,22,ongoing,False,False,False,False,0.004775639103321106,0.004775639103321106
A,mean_pbrs,23,ongoing,False,False,False,False,0.005334447177624125,0.005334447177624125
B,mean_pbrs,23,ongoing,False,False,False,False,0.003176558104592875,0.003176558104592875
A,mean_pbrs,24,ongoing,False,False,False,False,0.005505127122253905,0.005505127122253905
B,mean_pbrs,24,ongoing,False,False,False,False,0.0032241611261456305,0.0032241611261456305
A,mean_pbrs,25,ongoing,False,False,False,False,0.006041149532393719,0.006041149532393719
B,mean_pbrs,25,ongoing,False,False,False,False,0.0036371066132085744,0.0036371066132085744
A,mean_pbrs,26,ongoing,False,False,False,False,0.0064309966729473094,0.0064309966729473094
B,mean_pbrs,26,ongoing,False,False,False,False,0.0039038768306852495,0.0039038768306852495
A,mean_pbrs,27,ongoing,False,False,False,False,0.006737625335867059,0.006737625335867059
B,mean_pbrs,27,ongoing,False,False,False,False,0.00408742857052804,0.00408742857052804
A,mean_pbrs,28,ongoing,False,False,False,False,0.00699273362776529,0.00699273362776529
B,mean_pbrs,28,ongoing,False,False,False,False,0.004219459939349357,0.004219459939349357
A,mean_pbrs,29,ongoing,False,False,False,False,0.007213895128650295,0.007213895128650295
B,mean_pbrs,29,ongoing,False,False,False,False,0.0043175445171574015,0.0043175445171574015
A,mean_pbrs,30,ongoing,False,False,False,False,0.007411584065724108,0.007411584065724108
B,mean_pbrs,30,ongoing,False,False,False,False,0.0043921565311543015,0.0043921565311543015
A,mean_pbrs,31,ongoing,False,False,False,False,0.0075924264148136585,0.0075924264148136585
B,mean_pbrs,31,ongoing,False,False,False,False,0.004449921957166958,0.004449921957166958
