condition,seed,checkpoint,replay_len_A,replay_len_B,update_count_A,update_count_B,td_abs_mean,td_abs_p95,td_sample_n,replay_terminal_frac_A,replay_terminal_frac_B
double_dqn,63008,0,0,0,0,0,,,0,,
double_dqn,63008,100000,20000,20000,68915,80196,0.0142857458486974,0.0284719765186309,251,0.015625,0.01953125
double_dqn,63008,50000,20000,20000,31940,39708,0.0245601370406802,0.100636288523674,256,0.00390625,0.0078125
double_dqn,63008,75000,20000,20000,49531,57141,0.0150765194080946,0.0555562436580657,254,0.01953125,0.00390625
double_dqn,63007,300000,20000,20000,262772,225725,0.0163868155887746,0.0492960184812545,254,0.0234375,0.0234375
double_dqn,63008,25000,20000,20000,20718,19602,0.0447174560038312,0.1634525403380394,248,0.01171875,0.01171875
double_dqn,63008,150000,20000,20000,109907,126223,0.0102550569803468,0.0305086106061935,252,0.01953125,0.03125
double_dqn,63008,200000,20000,20000,152409,170661,0.0144401114360958,0.0370993793010711,255,0.02734375,0.03125
double_dqn,63008,250000,20000,20000,193369,217763,0.0105999029843682,0.0302517652511596,249,0.0234375,0.0078125
double_dqn,63009,10000,9089,8376,8578,7865,0.030335297553714,0.0795660614967345,249,0.01171875,0.0234375
double_dqn,63008,300000,20000,20000,235707,255084,0.0111168853527917,0.032548913359642,254,0.0,0.01171875
double_dqn,63009,75000,20000,20000,54128,68783,0.0088527243702657,0.0282715111970901,252,0.01953125,0.015625
double_dqn,63009,100000,20000,20000,75555,92129,0.013991850554943,0.0503815948963165,250,0.0234375,0.02734375
double_dqn,63009,25000,20000,20000,20585,21430,0.0391858204134872,0.1154873676598072,252,0.01171875,0.015625
double_dqn,63009,50000,20000,20000,34710,45002,0.0087972387434944,0.0265519440174102,252,0.00390625,0.00390625
double_dqn,63009,0,0,0,0,0,,,0,,
double_dqn,63009,150000,20000,20000,106884,138406,0.0107258943122202,0.0297066032886505,254,0.00390625,0.01171875
double_dqn,63009,200000,20000,20000,151791,182779,0.0104747015660203,0.0387871593236922,254,0.0234375,0.02734375
double_dqn,63009,250000,20000,20000,196659,229067,0.011262857937254,0.0407106727361679,256,0.0078125,0.015625
double_dqn,63010,0,0,0,0,0,,,0,,
double_dqn,63009,300000,20000,20000,240524,267272,0.0112218567066722,0.0298661261796951,252,0.01953125,0.02734375
double_dqn,63010,10000,9250,8541,8739,8030,0.0484034518375992,0.1267207834869618,250,0.0234375,0.015625
double_dqn,63010,100000,20000,20000,80014,70080,0.0200491800027735,0.0754027009010314,255,0.0078125,0.0234375
double_dqn,63010,25000,20000,20000,20699,21514,0.0577167340889278,0.2099370718002317,253,0.0234375,0.01171875
double_dqn,63010,250000,20000,20000,209498,194118,0.0136123005151748,0.0316631764173507,250,0.0078125,0.015625
double_dqn,63010,200000,20000,20000,167522,147810,0.0196823866963386,0.0420704811811447,250,0.0234375,0.0234375
double_dqn,63011,10000,9098,7898,8587,7387,0.0488237110095415,0.1567097902297973,253,0.0078125,0.015625
double_dqn,63010,75000,20000,20000,55840,60172,0.0126699130909115,0.041835206747055,255,0.0078125,0.00390625
double_dqn,63010,150000,20000,20000,125875,104391,0.0117669989122077,0.0376922190189361,256,0.0078125,0.00390625
double_dqn,63010,50000,20000,20000,35923,42396,0.0184759473002801,0.0537600398063659,254,0.015625,0.01953125
double_dqn,63011,0,0,0,0,0,,,0,,
double_dqn,63010,300000,20000,20000,226866,242022,0.0101164230967269,0.038423877954483,255,0.0234375,0.0078125
double_dqn,63011,100000,20000,20000,81594,86535,0.0101458461161153,0.0317262262105941,251,0.03515625,0.015625
double_dqn,63011,250000,20000,20000,203671,213716,0.0143922676603157,0.0477854907512664,251,0.015625,0.0078125
double_dqn,63011,75000,20000,20000,60100,63656,0.0112631361532424,0.0360726416110992,252,0.0078125,0.02734375
double_dqn,63011,200000,20000,20000,166137,171776,0.014521031054638,0.0432345896959303,248,0.00390625,0.015625
double_dqn,63011,150000,20000,20000,125831,125907,0.0164944511580179,0.0465111017227172,249,0.01953125,0.015625
double_dqn,63011,300000,20000,20000,240637,261487,0.0101595168243946,0.0265796065330505,254,0.01171875,0.01953125
double_dqn,63011,50000,20000,20000,38452,42445,0.0133292579392748,0.0336098104715347,254,0.01171875,0.01171875
double_dqn,63011,25000,20000,19147,21989,18636,0.0326519785082246,0.1006571084260939,254,0.01171875,0.03125
double_dqn,63012,0,0,0,0,0,,,0,,
double_dqn,63012,10000,8339,8406,7828,7895,0.0309587551307037,0.1071461677551269,249,0.01171875,0.01953125
double_dqn,63012,25000,20000,19857,22273,19346,0.0297530001971826,0.1276313662528991,251,0.01171875,0.01953125
double_dqn,63012,75000,20000,20000,63771,59950,0.0148665526285473,0.0329068422317504,253,0.01171875,0.015625
double_dqn,63012,200000,20000,20000,178631,155826,0.0093278097171409,0.0226960659027099,255,0.0,0.02734375
double_dqn,63012,300000,20000,20000,269375,245031,0.0180368781471111,0.0593700736761092,254,0.02734375,0.01171875
double_dqn,63012,50000,20000,20000,40330,40878,0.0248051831328061,0.0759225040674209,251,0.015625,0.01171875
double_dqn,63012,150000,20000,20000,133550,111194,0.0122798976878966,0.0336150586605071,248,0.0234375,0.0078125
double_dqn,63012,100000,20000,20000,86703,79330,0.0135000212626023,0.0364272594451904,253,0.015625,0.0234375
double_dqn,63013,10000,8833,8427,8322,7916,0.0259646603686084,0.0776190072298049,252,0.03125,0.0234375
double_dqn,63013,0,0,0,0,0,,,0,,
double_dqn,63012,250000,20000,20000,224104,200643,0.0139648418027566,0.0429964363574981,251,0.015625,0.01953125
double_dqn,63013,25000,20000,20000,21310,20524,0.0358795988785318,0.1573917418718338,251,0.0078125,0.01953125
double_dqn,63013,100000,20000,20000,62898,80602,0.0149049121768228,0.0529155641794204,252,0.0234375,0.01171875
double_dqn,63013,75000,20000,20000,46349,60162,0.0084619009353983,0.02346713244915,254,0.0,0.0
double_dqn,63013,150000,20000,20000,111329,109331,0.0133349505125307,0.0345464468002319,255,0.00390625,0.03125
double_dqn,63013,250000,20000,20000,172583,189025,0.0151059831607626,0.0393864810466766,251,0.0078125,0.015625
double_dqn,63013,300000,20000,20000,219454,229419,0.0184378379453269,0.0462348848581314,252,0.015625,0.0234375
double_dqn,63013,50000,20000,20000,36462,39952,0.0135318002280066,0.0419616520404815,255,0.0078125,0.0078125
double_dqn,63014,0,0,0,0,0,,,0,,
double_dqn,63014,10000,8246,8920,7735,8409,0.0285195291682842,0.0733190178871153,253,0.015625,0.015625
double_dqn,63013,200000,20000,20000,133123,155077,0.0122012806823477,0.0361762791872024,256,0.01953125,0.0
double_dqn,63015,0,0,0,0,0,,,0,,
double_dqn,63014,150000,20000,20000,92627,105629,0.0063842553208814,0.0206010043621063,256,0.0078125,0.0
double_dqn,63015,10000,8862,8569,8351,8058,0.0420749405906959,0.1381520271301269,253,0.02734375,0.0078125
double_dqn,63014,25000,20000,20000,20718,19548,0.0372635733056445,0.1233187198638915,253,0.015625,0.0
double_dqn,63014,200000,20000,20000,132856,145263,0.0221931118636377,0.0612484291195869,252,0.01953125,0.0078125
double_dqn,63014,250000,20000,20000,169561,190013,0.013979132279871,0.0306845009326934,254,0.01171875,0.03125
double_dqn,63014,300000,20000,20000,211454,237539,0.0135247938246595,0.0402845263481138,253,0.0234375,0.03515625
double_dqn,63014,50000,20000,20000,36519,38446,0.0135123725012531,0.0455568194389343,254,0.01171875,0.01171875
double_dqn,63014,75000,20000,20000,50883,55673,0.0050256726099178,0.0153263211250305,256,0.00390625,0.00390625
double_dqn,63016,0,0,0,0,0,,,0,,
double_dqn,63014,100000,20000,20000,65429,74073,0.005762287066318,0.0184273570775985,256,0.0,0.00390625
double_dqn,63015,25000,20000,20000,20755,21110,0.0522729397145292,0.1822510421276092,252,0.0078125,0.01171875
double_dqn,63015,50000,20000,20000,42666,39163,0.0205848548342199,0.0669968217611312,255,0.0078125,0.0078125
double_dqn,63015,150000,20000,20000,132211,110833,0.0139277761890774,0.0354625105857849,252,0.0078125,0.01953125
double_dqn,63015,200000,20000,20000,162236,157827,0.0161221974452022,0.0607771515846252,253,0.02734375,0.00390625
double_dqn,63015,250000,20000,20000,207436,204140,0.0100687499718362,0.0370214283466339,251,0.02734375,0.02734375
double_dqn,63015,75000,20000,20000,62316,58761,0.0162995059116213,0.0422493815422057,255,0.015625,0.00390625
double_dqn,63016,10000,9186,8469,8675,7958,0.0296182942186151,0.0968237340450283,248,0.015625,0.015625
