condition,seed,checkpoint,n_swap_pairs_total,n_swap_pairs_role_valid,n_swap_pairs_eligible,n_swap_pairs_changed,D_swap,swap_eligibility
double_dqn,63015,25000,8,8,1,1,1.0,0.125
double_dqn,63015,50000,8,8,8,8,1.0,1.0
double_dqn,63015,75000,8,8,2,0,0.0,0.25
double_dqn,63015,100000,8,8,3,0,0.0,0.375
double_dqn,63015,150000,8,8,8,0,0.0,1.0
double_dqn,63015,200000,8,8,8,0,0.0,1.0
double_dqn,63015,250000,8,8,7,0,0.0,0.875
double_dqn,63015,300000,8,8,8,0,0.0,1.0
double_dqn,63016,0,8,8,0,0,,0.0
double_dqn,63016,10000,8,8,3,2,0.6666666666666666,0.375
double_dqn,63016,25000,8,8,0,0,,0.0
double_dqn,63016,50000,8,8,0,0,,0.0
double_dqn,63016,75000,8,8,0,0,,0.0
double_dqn,63016,100000,8,8,0,0,,0.0
double_dqn,63016,150000,8,8,0,0,,0.0
double_dqn,63016,200000,8,8,7,2,0.2857142857142857,0.875
double_dqn,63016,250000,8,8,7,3,0.42857142857142855,0.875
double_dqn,63016,300000,8,8,2,0,0.0,0.25
double_dqn,63017,0,8,8,6,6,1.0,0.75
double_dqn,63017,10000,8,8,5,0,0.0,0.625
double_dqn,63017,25000,8,8,6,1,0.16666666666666666,0.75
double_dqn,63017,50000,8,8,8,4,0.5,1.0
double_dqn,63017,75000,8,8,6,2,0.3333333333333333,0.75
double_dqn,63017,100000,8,8,8,3,0.375,1.0
double_dqn,63017,150000,8,8,5,0,0.0,0.625
double_dqn,63017,200000,8,8,4,2,0.5,0.5
double_dqn,63017,250000,8,8,0,0,,0.0
double_dqn,63017,300000,8,8,0,0,,0.0
double_dqn,63018,0,8,8,0,0,,0.0
double_dqn,63018,10000,8,8,2,0,0.0,0.25
double_dqn,63018,25000,8,8,3,1,0.3333333333333333,0.375
double_dqn,63018,50000,8,8,8,4,0.5,1.0
double_dqn,63018,75000,8,8,8,1,0.125,1.0
double_dqn,63018,100000,8,8,8,6,0.75,1.0
double_dqn,63018,150000,8,8,5,1,0.2,0.625
double_dqn,63018,200000,8,8,6,1,0.16666666666666666,0.75
double_dqn,63018,250000,8,8,1,1,1.0,0.125
double_dqn,63018,300000,8,8,2,0,0.0,0.25
double_dqn,63019,0,8,8,1,0,0.0,0.125
double_dqn,63019,10000,8,8,6,5,0.8333333333333334,0.75
double_dqn,63019,25000,8,8,0,0,,0.0
double_dqn,63019,50000,8,8,0,0,,0.0
double_dqn,63019,75000,8,8,5,0,0.0,0.625
double_dqn,63019,100000,8,8,7,1,0.14285714285714285,0.875
double_dqn,63019,150000,8,8,3,3,1.0,0.375
double_dqn,63019,200000,8,8,8,2,0.25,1.0
double_dqn,63019,250000,8,8,0,0,,0.0
double_dqn,63019,300000,8,8,6,4,0.6666666666666666,0.75
double_dqn,63020,0,8,8,8,8,1.0,1.0
double_dqn,63020,10000,8,8,3,0,0.0,0.375
double_dqn,63020,25000,8,8,4,3,0.75,0.5
double_dqn,63020,50000,8,8,0,0,,0.0
double_dqn,63020,75000,8,8,0,0,,0.0
double_dqn,63020,100000,8,8,0,0,,0.0
double_dqn,63020,150000,8,8,2,2,1.0,0.25
double_dqn,63020,200000,8,8,5,3,0.6,0.625
double_dqn,63020,250000,8,8,1,0,0.0,0.125
double_dqn,63020,300000,8,8,8,2,0.25,1.0
vanilla_dqn,63001,0,8,8,0,0,,0.0
