block_id,assignment,block_index,episode_seed,steps,episode_length,term_reason,success,collision,terminated,truncated,convention,learner_A_utility,learner_B_utility,B_front_utility,B_rear_utility,worst_off_stakeholder_identity,discounted_base_return_A,discounted_base_return_B,discounted_learner_reward_A,discounted_learner_reward_B,collision_type,minimum_bumper_gap,minimum_TTC,hard_braking_rate,background_maximum_braking,formal_job_id,condition,master_seed,checkpoint_step,checkpoint_index,evaluation_seed_base,reconstruction_source,published_episode_payload_available,utility_A,utility_B,utility_B_front,utility_B_rear,roles_json,exit_time_json
validation_003,1,2,566007,400,400,truncation,False,False,False,True,,0.039999999999999994,1.0,1.0,1.0,A,-0.1306175509025426,0.30941175102767415,-0.1306175509025426,0.30941175102767415,none,,,0.08625,2.6922434654871807,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.039999999999999994,1.0,1.0,1.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": null, ""B"": 108, ""B_front"": 36, ""B_rear"": 123}"
validation_004,0,3,566008,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.1694223816279232,0.7000311227928528,-0.1694223816279232,0.7000311227928528,none,24.261866963179045,,0.055,3.2601209793560315,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 52, ""B_front"": 39, ""B_rear"": null}"
validation_004,1,3,566009,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.7081505806556948,-0.15634089016308136,0.7081505806556948,-0.15634089016308136,none,22.40700307148755,,0.0475,3.2601209793560315,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 56, ""B"": null, ""B_front"": 39, ""B_rear"": null}"
validation_005,0,4,566010,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.1506364608822361,0.6450949995937759,-0.1506364608822361,0.6450949995937759,none,28.45347523860582,,0.05375,6.000000000000014,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 58, ""B_front"": 40, ""B_rear"": null}"
validation_005,1,4,566011,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.6859198895973538,-0.1506364608822361,0.6859198895973538,-0.1506364608822361,none,25.811167611886148,,0.045,6.000000000000014,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 57, ""B"": null, ""B_front"": 40, ""B_rear"": null}"
validation_006,0,5,566012,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.1506364608822361,0.6775708569520571,-0.1506364608822361,0.6775708569520571,none,27.35347523860571,,0.0475,6.000000000000014,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 58, ""B_front"": 40, ""B_rear"": null}"
validation_006,1,5,566013,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.7000863156915786,-0.1506364608822361,0.7000863156915786,-0.1506364608822361,none,24.620351678469945,,0.0425,6.000000000000014,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 57, ""B"": null, ""B_front"": 40, ""B_rear"": null}"
validation_007,0,6,566014,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.16709877563594194,0.7287784912086241,-0.16709877563594194,0.7287784912086241,none,24.732721637572453,,0.05,2.6922434654871807,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 49, ""B_front"": 36, ""B_rear"": null}"
validation_007,1,6,566015,400,400,truncation,False,False,False,True,,1.0,0.0,1.0,0.0,B,0.7739474342540936,-0.16953711709877625,0.7739474342540936,-0.16953711709877625,none,22.986077409858837,,0.04875,2.6922434654871807,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,1.0,0.0,1.0,0.0,"{""A"": ""ramp"", ""B"": ""mainline""}","{""A"": 45, ""B"": null, ""B_front"": 36, ""B_rear"": null}"
validation_008,0,7,566016,400,400,truncation,False,False,False,True,,0.0,1.0,1.0,0.0,A,-0.1506364608822361,0.6810993932290066,-0.1506364608822361,0.6810993932290066,none,24.733303698942365,,0.04875,4.976275463142841,baseline__61002,baseline,61002,100000,5,561002,final_online_target_weights.pt,False,0.0,1.0,1.0,0.0,"{""A"": ""mainline"", ""B"": ""ramp""}","{""A"": null, ""B"": 56, ""B_front"": 39, ""B_rear"": null}"
