condition,seed,step,artifact_type,logical_artifact_id,size_bytes,sha256,load_validated,backup_status,storage_location
vanilla_dqn,63002,25000,weights,vanilla_dqn/seed_63002/weights_step_25000.pt,106687,ec3001cffee40834cc1c861f52d4da368a4f1745b466fadbaef4a065a4ed2a2d,True,not_available,experiment_machine_local
vanilla_dqn,63002,25000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_25000.json,710,11b4797636fcf504402831ac35f84ff3c0deab631218c175f845c91abaceb8fb,True,not_available,experiment_machine_local
vanilla_dqn,63003,0,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_0_full.pt,123212,08c7ee5125810a437374356780a81f881c0bbcd34c776e3b2b5a4f239e0418a5,True,not_available,experiment_machine_local
vanilla_dqn,63003,0,weights,vanilla_dqn/seed_63003/weights_step_0.pt,106567,96187c47a111ceef72ce044f72d9b004c94f807e5e5fb3d3efcbf159d777dc7c,True,not_available,experiment_machine_local
vanilla_dqn,63003,0,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_0.json,696,f0821fbd3935831aa2858f98b6c49c9c7bfdcb15012605139af4f790c5a6e69a,True,not_available,experiment_machine_local
vanilla_dqn,63002,50000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_50000_full.pt,42684508,daa272527ce0e6d5a21d096c987eaefb60d8ae30f53b467ca70331ae104a3423,True,not_available,experiment_machine_local
vanilla_dqn,63002,50000,weights,vanilla_dqn/seed_63002/weights_step_50000.pt,106687,b37b30a81746e62482dee433e682f0f9de3b66923700d56faf552c42e4d0b64b,True,not_available,experiment_machine_local
vanilla_dqn,63002,50000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_50000.json,710,efc0c33d33d2841190d349f723c05f480dd47114d0c0ec7c32a6960cbd772695,True,not_available,experiment_machine_local
vanilla_dqn,63002,200000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_200000_full.pt,41907167,a7dddeaaf116f004b07eed38b78715d2c703de42554b8460e5009ba367421615,True,not_available,experiment_machine_local
vanilla_dqn,63002,200000,weights,vanilla_dqn/seed_63002/weights_step_200000.pt,106781,69f2541495a0f312d54d5fdbc506be57ff31fd9c61e8ca51e62bf25cf94477f4,True,not_available,experiment_machine_local
vanilla_dqn,63002,200000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_200000.json,713,8aaa71a390b04d92f26477b5fbbc9b417c3dadbc658cd0c4bfe1bb2737e50806,True,not_available,experiment_machine_local
vanilla_dqn,63002,100000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_100000_full.pt,43799391,4f36210a80d007c52b230f557073ec5cba6f59f0406e10918fef15ab2212adaf,True,not_available,experiment_machine_local
vanilla_dqn,63002,100000,weights,vanilla_dqn/seed_63002/weights_step_100000.pt,106781,307d2f04a798b9ec1738d73248dbaa1259ed57c5111f7bab0cb7cd8406ba234f,True,not_available,experiment_machine_local
vanilla_dqn,63002,100000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_100000.json,713,8982164ad1707e7a966caa59715e82ba0ae43c5dd09263cc86d4a71c415819e9,True,not_available,experiment_machine_local
vanilla_dqn,63002,150000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_150000_full.pt,42585631,d171553bdb6714a05cad4ea8ce38c2ad917f482a5e84d7d62a538db8255986d4,True,not_available,experiment_machine_local
vanilla_dqn,63002,150000,weights,vanilla_dqn/seed_63002/weights_step_150000.pt,106781,76006a60da910d43232aac267819149e53f65a9f4da949e3a9e59aa0e3303b70,True,not_available,experiment_machine_local
vanilla_dqn,63002,150000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_150000.json,713,b397f04d3a014730734c8ad792d4efd1cf5ae703fc21c1594ca7bd64f878bb15,True,not_available,experiment_machine_local
vanilla_dqn,63003,10000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_10000_full.pt,19734876,f7db3cbbabc1b595c3a62edec1d2f302a9e6f3fc538914732c97a8c75a7a778d,True,not_available,experiment_machine_local
vanilla_dqn,63003,10000,weights,vanilla_dqn/seed_63003/weights_step_10000.pt,106687,cb63b81fad12f3c3fa5698aa9751b9effbc469817a61929f1c12b48e0d14d99e,True,not_available,experiment_machine_local
vanilla_dqn,63003,10000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_10000.json,710,c817a48b034cdde67c5fbdb2335ddfcae17d32c1d3677b42fe862eddb114d7be,True,not_available,experiment_machine_local
vanilla_dqn,63002,75000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_75000_full.pt,43125020,6514bd6f54c259d6b9eadaad8f1c9fbe52ca6e000aefc46f0d5b710e3fe88e7d,True,not_available,experiment_machine_local
vanilla_dqn,63002,75000,weights,vanilla_dqn/seed_63002/weights_step_75000.pt,106687,d0bd4db23fb70f6f5909abb7fc6fc5661fed0eb43f4e37eebe15bec387f8c180,True,not_available,experiment_machine_local
vanilla_dqn,63002,75000,checkpoint_metadata,vanilla_dqn/seed_63002/checkpoint_metadata_75000.json,710,a6a27a8477149258264575e6a843e0f48fe11b5453fcace75364540f0ac691cd,True,not_available,experiment_machine_local
vanilla_dqn,63002,300000,full_checkpoint,vanilla_dqn/seed_63002/ckpt_step_300000_full.pt,42539615,f2fddc236337065077878c8e3f3921cff2dcd7c2bbb39e35aef9f25cb42a13d7,True,not_available,experiment_machine_local
vanilla_dqn,63002,300000,weights,vanilla_dqn/seed_63002/weights_step_300000.pt,106781,8f6edf14d7997060e4aaa948f9da706a62d07cf1a467a7d22f929b77aed7943a,True,not_available,experiment_machine_local
