episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied,mean_rawlsian_signal,rawlsian_positive_signal_count,rawlsian_negative_signal_count,rawlsian_zero_signal_count,mean_delta_min_experience,min_delta_min_experience,max_delta_min_experience
92,0.05,-8.40765803654023,100,0,0,0,0,0,1,max_steps_unmerged,,-6.563998088222684,-10.58400931216774,1.0,0.0,0,0,1,0,,0,0,0,,,
93,0.05,-5.902493594556783,8,0,1,0,0,1,0,collision_without_merge,,10.658621516237504,9.81555125282969,0.03677122405876006,0.46453294303944115,1,0,0,1,,0,0,0,,,
94,0.05,-5.695966020389594,8,0,1,0,0,1,0,collision_without_merge,,10.569480862081017,9.218266682512164,0.23615652780683383,0.3089590415982204,1,0,0,1,,0,0,0,,,
95,0.05,-5.763594419820685,6,0,1,0,0,1,0,collision_without_merge,,10.191650099944853,9.245449901803525,0.13871883436623947,0.3781799069447689,1,0,0,1,,0,0,0,,,
96,0.05,-8.982086985188179,8,0,1,0,0,1,0,collision_without_merge,,10.854552907709733,9.563102280676995,0.0029384694835377393,0.49248264293093014,2,0,0,1,,0,0,0,,,
97,0.05,-16.153344852416556,8,0,1,0,0,1,0,collision_without_merge,,10.672898556169752,9.253285973300052,0.0008508752137381415,0.499149848159391,2,0,0,1,,0,0,0,,,
98,0.05,-5.767629959895272,8,0,1,0,0,1,0,collision_without_merge,,9.713271235408609,8.428409891546172,0.2405058849015557,0.3061227376437301,1,0,0,1,,0,0,0,,,
99,0.05,-5.750475224589713,8,0,1,0,0,1,0,collision_without_merge,,10.084241446482054,9.18613597963052,0.0895071465497493,0.41784620520094773,1,0,0,1,,0,0,0,,,
100,0.05,-5.86117454838744,8,0,1,0,0,1,0,collision_without_merge,,10.692272576522763,9.790618936801428,0.04006637908626655,0.46147709425867034,1,0,0,1,,0,0,0,,,
101,0.05,-5.91151916405882,7,0,1,0,0,1,0,collision_without_merge,,10.03906032413711,9.000326839547782,0.042449020979175925,0.4592795233868576,1,0,0,1,,0,0,0,,,
102,0.05,-5.792909088504351,7,0,1,0,0,1,0,collision_without_merge,,11.04932995032202,9.565388825038642,0.0562361390686717,0.4467579862224207,1,0,0,1,,0,0,0,,,
103,0.05,2.4539322492656384,11,1,0,1,0,0,0,safe_merge,11,9.76578003059539,9.245654014456731,0.3956010604276901,0.2165371454314775,0,1,0,0,,0,0,0,,,
104,0.05,-5.778165348757,8,0,1,0,0,1,0,collision_without_merge,,10.3534219136351,8.897773073535665,0.08482272671305936,0.38862758233674355,2,0,0,1,,0,0,0,,,
105,0.05,-5.719365282555856,8,0,1,0,0,1,0,collision_without_merge,,10.057383445887368,9.0342058921597,0.21312634928362914,0.32431644534843085,1,0,0,1,,0,0,0,,,
106,0.05,-5.7900905413466255,6,0,1,0,0,1,0,collision_without_merge,,10.560493683233036,9.186561520912411,0.08138871862610231,0.42473685250803617,1,0,0,1,,0,0,0,,,
107,0.05,-3.647999176319832,10,1,1,0,1,0,0,unsafe_merge,10,10.379079816311219,9.52830074113255,0.14843573454044065,0.37074963789781523,2,1,0,1,,0,0,0,,,
108,0.05,-5.785573684301763,7,0,1,0,0,1,0,collision_without_merge,,10.208021754834636,9.03149537408189,0.09414238024136952,0.41395783406122955,2,0,0,1,,0,0,0,,,
109,0.05,-5.763200999032674,7,0,1,0,0,1,0,collision_without_merge,,10.77113777839607,9.640465990684378,0.1315920422128974,0.38371070376603145,2,0,0,1,,0,0,0,,,
110,0.05,2.4350832646459586,13,1,0,1,0,0,0,safe_merge,13,8.844223248803836,7.629442161570275,0.23574984187410677,0.3092252704507128,0,1,0,0,,0,0,0,,,
111,0.05,-5.7220766433160986,7,0,1,0,0,1,0,collision_without_merge,,10.445495614970216,9.708176490872848,0.19306191104112486,0.33817946977064284,1,0,0,1,,0,0,0,,,
112,0.05,-5.723737790478541,6,0,1,0,0,1,0,collision_without_merge,,10.890973303318903,10.164276188491035,0.21945454253949953,0.32003876742917514,0,0,0,1,,0,0,0,,,
113,0.05,2.443843292045722,11,1,0,1,0,0,0,safe_merge,11,9.352454776556435,8.76495923610417,1.0,0.0,0,1,0,0,,0,0,0,,,
114,0.05,-6.384388648180609,8,0,1,0,0,1,0,collision_without_merge,,10.847911110661135,9.56327567908019,0.013243485613956538,0.4869296118830395,2,0,0,1,,0,0,0,,,
115,0.05,-5.734368449368781,6,0,1,0,0,1,0,collision_without_merge,,10.721372532271252,9.737976891785124,0.16747685967298168,0.3565480263823877,1,0,0,1,,0,0,0,,,
116,0.05,2.4538165374503587,11,1,0,1,0,0,0,safe_merge,11,9.346682921897873,9.230310137824125,1.0,0.0,0,1,0,0,,0,0,0,,,
117,0.05,-3.6018250948584605,10,1,1,0,1,0,0,unsafe_merge,10,9.80475428847418,8.883512491110237,0.24600150024486309,0.3025672519683813,0,1,0,1,,0,0,0,,,
118,0.05,-3.986652357293276,9,1,1,0,1,0,0,unsafe_merge,9,11.099636855991411,10.081730867184836,0.02395376226460673,0.4766065977318841,2,1,0,1,,0,0,0,,,
119,0.05,2.1716257940047017,25,1,0,1,0,0,0,safe_merge,25,4.881838096458829,-1.09427099557656,1.0,0.0,0,1,0,0,,0,0,0,,,
120,0.05,-5.753296986941712,8,0,1,0,0,1,0,collision_without_merge,,9.563314923758707,8.650020428975425,0.09169470035603647,0.41600701155173536,1,0,0,1,,0,0,0,,,
121,0.05,-5.71421873170811,8,0,1,0,0,1,0,collision_without_merge,,9.937221756788063,9.165806764726694,0.18887419842952083,0.34113188874060896,1,0,0,1,,0,0,0,,,
122,0.05,-5.821228843952816,6,0,1,0,0,1,0,collision_without_merge,,10.940394119961084,10.085529465219851,0.07885756824409536,0.4269064141873329,1,0,0,1,,0,0,0,,,
123,0.05,-5.771382080850828,6,0,1,0,0,1,0,collision_without_merge,,10.01905162927538,9.371161425673742,0.1564412372466563,0.36472184473538505,1,0,0,1,,0,0,0,,,
124,0.05,2.4100678072290536,10,1,0,1,0,0,0,safe_merge,10,9.82448485548109,9.228177187734456,0.37278679183377467,0.22844523705257647,0,1,0,0,,0,0,0,,,
125,0.05,-5.72832386376109,7,0,1,0,0,1,0,collision_without_merge,,11.123759591915741,10.086071288422334,0.0998592322345497,0.40920726097678073,1,0,0,1,,0,0,0,,,
126,0.05,2.4609023019492446,11,1,0,1,0,0,0,safe_merge,11,9.724077769426065,8.869490617214685,1.0,0.0,0,1,0,0,,0,0,0,,,
127,0.05,-5.628926164121305,7,0,1,0,0,1,0,collision_without_merge,,10.68877905619324,9.541938797216691,1.0,0.0,0,0,0,1,,0,0,0,,,
128,0.05,-3.674781288154766,10,1,1,0,1,0,0,unsafe_merge,10,9.887116894821606,9.065764110526107,0.14731024864427217,0.3716038239714652,2,1,0,1,,0,0,0,,,
129,0.05,-5.617716090557366,8,0,1,0,0,1,0,collision_without_merge,,10.349618479980444,9.213630623509292,0.34890652847551773,0.24134121148495136,0,0,0,1,,0,0,0,,,
130,0.05,-3.6592955090125785,9,1,1,0,1,0,0,unsafe_merge,9,10.45870679726113,9.613357655686203,0.23149267695209286,0.3120226930418861,0,1,0,1,,0,0,0,,,
131,0.05,2.474593555276773,13,1,0,1,0,0,0,safe_merge,13,8.850898683801809,8.300899864155385,1.0,0.0,0,1,0,0,,0,0,0,,,
132,0.05,-5.630276143808275,7,0,1,0,0,1,0,collision_without_merge,,11.268248797991161,9.690840000259346,0.20460350462371574,0.27987482210576675,0,0,0,1,,0,0,0,,,
133,0.05,2.463569797917609,13,1,0,1,0,0,0,safe_merge,13,8.937209143650756,8.10288574292959,0.9845563822170282,0.0038909496150769662,0,1,0,0,,0,0,0,,,
134,0.05,2.3799949946740195,11,1,0,1,0,0,0,safe_merge,11,9.375004934692798,8.378761424192636,1.0,0.0,0,1,0,0,,0,0,0,,,
135,0.05,-5.763237771993301,6,0,1,0,0,1,0,collision_without_merge,,10.620939387041828,9.550233892125553,0.11299383544750805,0.39847757296690167,1,0,0,1,,0,0,0,,,
136,0.05,2.4304251008613984,12,1,0,1,0,0,0,safe_merge,12,9.082973501096724,8.483323266207718,1.0,0.0,0,1,0,0,,0,0,0,,,
137,0.05,2.45528106851302,12,1,0,1,0,0,0,safe_merge,12,9.15387634290019,8.097764731882565,1.0,0.0,0,1,0,0,,0,0,0,,,
138,0.05,2.453611049512641,14,1,0,1,0,0,0,safe_merge,14,8.437937517149633,7.339809352817753,0.0,0.5,0,1,0,0,,0,0,0,,,
139,0.05,2.4464875218640465,12,1,0,1,0,0,0,safe_merge,12,9.209770537359292,8.497731877437877,0.866854518056275,0.03566037970713265,0,1,0,0,,0,0,0,,,
140,0.05,2.478662140241496,16,1,0,1,0,0,0,safe_merge,16,8.132428849219222,6.983276753018699,1.0,0.0,0,1,0,0,,0,0,0,,,
141,0.05,2.4806610727719973,12,1,0,1,0,0,0,safe_merge,12,9.198284874354052,8.654015040246703,1.0,0.0,0,1,0,0,,0,0,0,,,
142,0.05,2.489202851192644,14,1,0,1,0,0,0,safe_merge,14,8.242866298950142,7.4729495766859655,0.46836378625081565,0.18103014345873203,0,1,0,0,,0,0,0,,,
143,0.05,2.5106689248402967,12,1,0,1,0,0,0,safe_merge,12,9.622359546151904,9.243741367691612,1.0,0.0,0,1,0,0,,0,0,0,,,
144,0.05,2.4850164294862833,13,1,0,1,0,0,0,safe_merge,13,8.975080484333365,8.411820218093977,1.0,0.0,0,1,0,0,,0,0,0,,,
145,0.05,2.4698529368253084,12,1,0,1,0,0,0,safe_merge,12,9.015060946265299,8.692832109214034,1.0,0.0,0,1,0,0,,0,0,0,,,
146,0.05,2.475735902869131,11,1,0,1,0,0,0,safe_merge,11,9.856269818706197,9.37124392947614,1.0,0.0,0,1,0,0,,0,0,0,,,
147,0.05,2.503493856775026,11,1,0,1,0,0,0,safe_merge,11,10.14589467132677,9.316034345667578,1.0,0.0,0,1,0,0,,0,0,0,,,
148,0.05,2.4632053059643777,11,1,0,1,0,0,0,safe_merge,11,9.525151251650557,8.484519374673784,1.0,0.0,0,1,0,0,,0,0,0,,,
149,0.05,2.4716238203189,11,1,0,1,0,0,0,safe_merge,11,9.347069367868295,8.408879260003124,1.0,0.0,0,1,0,0,,0,0,0,,,
150,0.05,2.467910924578107,12,1,0,1,0,0,0,safe_merge,12,9.466810113933093,8.585012327031562,0.652219926237399,0.1052463017301215,0,1,0,0,,0,0,0,,,
151,0.05,2.4889330610430154,12,1,0,1,0,0,0,safe_merge,12,9.215944111069119,8.28989230285458,1.0,0.0,0,1,0,0,,0,0,0,,,
152,0.05,2.4784162027794414,11,1,0,1,0,0,0,safe_merge,11,9.786192794657966,9.104763819434151,1.0,0.0,0,1,0,0,,0,0,0,,,
153,0.05,2.4969792027651954,12,1,0,1,0,0,0,safe_merge,12,9.506010504920956,8.835850232994568,1.0,0.0,0,1,0,0,,0,0,0,,,
