episode,epsilon,episode_reward,episode_length,merge_completed,collision,safe_merge,unsafe_merge,collision_without_merge,non_merge_failure,termination_reason,time_to_merge,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied,collision_penalty_applied
57,0.05,-9.437280728038488,26,1,1,0,1,0,0,unsafe_merge,26,4.569354681338229,1.3611882219062443,-3.7847644681677095,0.5,0,1,0,1
58,0.05,1.5513614101743558,28,1,0,1,0,0,0,safe_merge,28,5.025668542671881,0.8590305644617278,-4.0,0.5,0,1,0,0
59,0.05,1.490011854718774,12,1,0,1,0,0,0,safe_merge,12,9.674662250849394,9.167079920910936,1.0,0.0,0,1,0,0
60,0.05,1.362206442171467,33,1,0,1,0,0,0,safe_merge,33,2.830282201443455,-1.2859767276414384,-7.0,0.5,0,1,0,0
61,0.05,1.392318255277113,23,1,0,1,0,0,0,safe_merge,23,5.922198485840311,1.150765123424498,1.0,0.0,0,1,0,0
62,0.05,1.517704623754371,29,1,0,1,0,0,0,safe_merge,29,4.584732446132317,0.5377037630348447,-4.0,0.5,0,1,0,0
63,0.05,-10.046548389691983,44,1,1,0,1,0,0,unsafe_merge,44,-0.10848971196816476,-3.9592223185792026,-14.0,0.5,0,1,0,1
64,0.05,1.6544811323447004,24,1,0,1,0,0,0,safe_merge,24,6.59034851929336,2.5062688622360016,-2.0,0.5,0,1,0,0
65,0.05,1.5129793090950645,27,1,0,1,0,0,0,safe_merge,27,4.930848797784291,0.7961382317381236,-3.0,0.5,0,1,0,0
66,0.05,1.2115104233698433,42,1,0,1,0,0,0,safe_merge,42,0.681816568982572,-2.4885077297027594,-12.0,0.5,0,1,0,0
67,0.05,1.3989094543698104,31,1,0,1,0,0,0,safe_merge,31,3.4911675937576843,-0.7007607791720796,-6.0,0.5,0,1,0,0
68,0.05,1.5415329827348445,30,1,0,1,0,0,0,safe_merge,30,4.0515237521281176,-0.04333669799778527,-7.0,0.5,1,1,0,0
