seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,recv_opp_worse,recv_yield_worse,priority_pairs,priority_to_worse_off,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,worst_off_samples,recovery_n_k10,recovery_sum_k10,gapclosure_sum_k10,recovery_n_k25,recovery_sum_k25,gapclosure_sum_k25,recovery_n_k50,recovery_sum_k50,gapclosure_sum_k50
900101,ggi,original,mainline-fast,3971.0,27749.0,53.0,0.0,6354.0,220.0,70.0,0.0,3971.0,27749.0,33.0,111.0,715.0,712.0,7.424558252200585,5.654156120020677,517.0,12.173475385845162,9.355895563647136,61.0,3.5823896945990947,2.972814609925065
900101,ggi,original,mainline-slow,6835.0,24335.0,233.0,0.0,3052.0,125.0,0.0,0.0,6835.0,24335.0,154.0,429.0,1382.0,1382.0,3.7713074443392056,3.7512863926213704,965.0,6.626946137839793,6.219630996634362,135.0,2.3243059718204755,2.5510956649017418
900101,ggi,original,ramp-fast,2495.0,28649.0,104.0,0.0,7293.0,176.0,50.0,0.0,2495.0,28649.0,101.0,72.0,2049.0,2042.0,15.651260549584281,12.073038925307914,1429.0,24.846660081002582,19.119811835790944,108.0,5.405218201572952,4.479953069368349
900101,ggi,original,ramp-slow,7030.0,25713.0,224.0,0.0,3632.0,93.0,0.0,0.0,7030.0,25713.0,169.0,472.0,1114.0,1114.0,4.228622763603491,4.41165800018626,802.0,7.403700689303986,7.363118473603942,155.0,2.9761394249206,3.184387322202072
900101,ggi,wsc,ALL,17.0,114601.0,0,0,17.0,0,0,0,17.0,114601.0,0,161.0,19.0,19.0,0.003304838376955499,0.003304838376955499,7.0,0.002524598292251601,0.002524598292251601,0,0,0
900101,ggi,wsc,mainline-fast,17.0,26325.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26325.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,ggi,wsc,mainline-slow,0.0,30500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30500.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,ggi,wsc,ramp-fast,0.0,26528.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,26528.0,0.0,52.0,19.0,19.0,0.003304838376955499,0.003304838376955499,7.0,0.002524598292251601,0.002524598292251601,0.0,0.0,0.0
900101,ggi,wsc,ramp-slow,0.0,31248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31248.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900101,maximin,original,ALL,12102.0,119689.0,272.0,0,12102.0,272.0,11.0,0,12102.0,119689.0,42.0,384.0,2781.0,2751.0,2.6011619008153333,2.423876490014477,1751.0,3.7478168684370803,3.4732253371182,2.0,0.004277147037397011,0.004277147037397011
900101,maximin,original,mainline-fast,3083.0,29816.0,102.0,0.0,3030.0,41.0,0.0,0.0,3083.0,29816.0,20.0,42.0,384.0,368.0,0.3352685983484798,0.3167079589463685,203.0,0.44376460528806705,0.4190386357609758,0.0,0.0,0.0
900101,maximin,original,mainline-slow,2431.0,30165.0,32.0,0.0,4452.0,126.0,0.0,0.0,2431.0,30165.0,8.0,176.0,1162.0,1162.0,1.083324909626096,0.9880751819584919,761.0,1.5939638515813193,1.4412580910258157,0.0,0.0,0.0
900101,maximin,original,ramp-fast,3153.0,29678.0,87.0,0.0,2231.0,35.0,11.0,0.0,3153.0,29678.0,6.0,39.0,628.0,614.0,0.4051378779667575,0.4051378779667575,397.0,0.5753090777649701,0.5753090777649701,2.0,0.004277147037397011,0.004277147037397011
900101,maximin,original,ramp-slow,3435.0,30030.0,51.0,0.0,2389.0,70.0,0.0,0.0,3435.0,30030.0,8.0,127.0,607.0,607.0,0.777430514874,0.7139554711428593,390.0,1.1347793338027239,1.0376195325664384,0.0,0.0,0.0
900101,maximin,wsc,ALL,3150.0,120306.0,4.0,0,3150.0,4.0,0,0,3150.0,120306.0,5.0,277.0,1361.0,1222.0,0.7364126516698383,0.8572175437849392,756.0,1.205280452581864,1.3227102659450325,58.0,0.11942383161118975,0.20700916779061573
900101,maximin,wsc,mainline-fast,747.0,29705.0,0.0,0.0,874.0,0.0,0.0,0.0,747.0,29705.0,0.0,116.0,269.0,231.0,0.1551255007533192,0.1551255007533192,126.0,0.2029973797373772,0.2029973797373772,0.0,0.0,0.0
900101,maximin,wsc,mainline-slow,1047.0,28908.0,1.0,0.0,58.0,0.0,0.0,0.0,1047.0,28908.0,2.0,29.0,184.5,39.0,0.05133141355544357,0.057378220929043766,27.0,0.0838334206048782,0.09290224955953508,2.0,0.010186892217671772,0.010453112292027944
900101,maximin,wsc,ramp-fast,348.0,30371.0,0.0,0.0,1999.0,3.0,0.0,0.0,348.0,30371.0,0.0,58.0,678.0,577.0,0.32308833508751056,0.31906999243022505,322.0,0.4308019984371706,0.42163614377215286,0.0,0.0,0.0
900101,maximin,wsc,ramp-slow,1008.0,31322.0,3.0,0.0,219.0,1.0,0.0,0.0,1008.0,31322.0,3.0,74.0,229.5,375.0,0.20686740227356493,0.32564382967235117,281.0,0.4876476538024379,0.6051744928759673,56.0,0.10923693939351797,0.1965560554985878
