master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61004,validation_002,0,A,True,0.9295774647887324,0.04225352112676056,0.028169014084507043,0.07142857142857142
61004,validation_002,0,B,True,0.5492957746478874,0.29577464788732394,0.15492957746478872,0.24285714285714285
61004,validation_002,1,A,True,0.3333333333333333,0.6666666666666666,0.0,0.01694915254237288
61004,validation_002,1,B,True,0.95,0.05,0.0,0.05084745762711865
61004,validation_003,0,A,True,0.30578512396694213,0.4628099173553719,0.23140495867768596,0.1
61004,validation_003,0,B,True,0.15702479338842976,0.49586776859504134,0.34710743801652894,0.23333333333333334
61004,validation_003,1,A,True,0.4426229508196721,0.47540983606557374,0.08196721311475409,0.11666666666666667
61004,validation_003,1,B,True,0.3770491803278688,0.5737704918032787,0.04918032786885246,0.15
61004,validation_004,0,A,True,0.344,0.448,0.208,0.12903225806451613
61004,validation_004,0,B,True,0.128,0.48,0.392,0.1774193548387097
61004,validation_004,1,A,True,0.35,0.65,0.0,0.01694915254237288
61004,validation_004,1,B,True,0.95,0.05,0.0,0.01694915254237288
61004,validation_005,0,A,True,0.1875,0.8125,0.0,0.0851063829787234
61004,validation_005,0,B,True,0.14583333333333334,0.8541666666666666,0.0,0.06382978723404255
61004,validation_005,1,A,True,0.4032258064516129,0.5967741935483871,0.0,0.06557377049180328
61004,validation_005,1,B,True,0.8548387096774194,0.12903225806451613,0.016129032258064516,0.09836065573770492
61004,validation_006,0,A,True,0.33070866141732286,0.47244094488188976,0.1968503937007874,0.10317460317460317
61004,validation_006,0,B,True,0.14173228346456693,0.4881889763779528,0.3700787401574803,0.19047619047619047
61004,validation_006,1,A,True,0.3548387096774194,0.6451612903225806,0.0,0.01639344262295082
61004,validation_006,1,B,True,0.8548387096774194,0.12903225806451613,0.016129032258064516,0.09836065573770492
61004,validation_007,0,A,True,0.42105263157894735,0.43859649122807015,0.14035087719298245,0.21428571428571427
61004,validation_007,0,B,True,0.6140350877192983,0.2807017543859649,0.10526315789473684,0.19642857142857142
61004,validation_007,1,A,True,0.3793103448275862,0.6206896551724138,0.0,0.017543859649122806
61004,validation_007,1,B,True,0.9827586206896551,0.017241379310344827,0.0,0.03508771929824561
61004,validation_008,0,A,True,0.2890625,0.5,0.2109375,0.1732283464566929
61004,validation_008,0,B,True,0.1328125,0.4921875,0.375,0.2125984251968504
61004,validation_008,1,A,True,0.3709677419354839,0.6290322580645161,0.0,0.01639344262295082
61004,validation_008,1,B,True,0.8548387096774194,0.12903225806451613,0.016129032258064516,0.09836065573770492
61005,validation_001,0,A,True,0.1875,0.75,0.0625,0.1276595744680851
