policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index,front_gap
302,60.400000000000006,A,ramp,True,False,94.40000000000002,0.0,2,decelerate,-3.0,0.0,260.0,0.0,2,0,active-inactive,-0.05676708742976189,0.0286481324583292,0.13290642201900482,2,0.13290642201900482,0.0286481324583292,0.10425828956067562,0.1896735094487667,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
302,60.400000000000006,B,mainline,False,True,260.0,0.0,0,maintain,0.0,0.0,94.40000000000002,0.0,2,0,active-inactive,0.0534169040620327,-0.07472138851881027,-0.06085367500782013,0,0.0534169040620327,-0.06085367500782013,0.11427057906985283,0.12813829258084297,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
302,60.400000000000006,B_front,background_mainline,True,,260.0,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
302,60.400000000000006,B_rear,background_mainline,True,,260.7500426913789,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
303,60.6,A,ramp,True,False,94.40000000000002,0.0,2,decelerate,-3.0,0.0,260.0,0.0,2,0,active-inactive,-0.05676708742976189,0.0286481324583292,0.13290642201900482,2,0.13290642201900482,0.0286481324583292,0.10425828956067562,0.1896735094487667,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
303,60.6,B,mainline,False,True,260.0,0.0,0,maintain,0.0,0.0,94.40000000000002,0.0,2,0,active-inactive,0.0534169040620327,-0.07472138851881027,-0.06085367500782013,0,0.0534169040620327,-0.06085367500782013,0.11427057906985283,0.12813829258084297,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
303,60.6,B_front,background_mainline,True,,260.0,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
303,60.6,B_rear,background_mainline,True,,260.7500426913789,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
304,60.800000000000004,A,ramp,True,False,94.40000000000002,0.0,2,decelerate,-3.0,0.0,260.0,0.0,2,0,active-inactive,-0.05676708742976189,0.0286481324583292,0.13290642201900482,2,0.13290642201900482,0.0286481324583292,0.10425828956067562,0.1896735094487667,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
304,60.800000000000004,B,mainline,False,True,260.0,0.0,0,maintain,0.0,0.0,94.40000000000002,0.0,2,0,active-inactive,0.0534169040620327,-0.07472138851881027,-0.06085367500782013,0,0.0534169040620327,-0.06085367500782013,0.11427057906985283,0.12813829258084297,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
304,60.800000000000004,B_front,background_mainline,True,,260.0,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
304,60.800000000000004,B_rear,background_mainline,True,,260.7500426913789,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
305,61.0,A,ramp,True,False,94.40000000000002,0.0,2,decelerate,-3.0,0.0,260.0,0.0,2,0,active-inactive,-0.05676708742976189,0.0286481324583292,0.13290642201900482,2,0.13290642201900482,0.0286481324583292,0.10425828956067562,0.1896735094487667,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
305,61.0,B,mainline,False,True,260.0,0.0,0,maintain,0.0,0.0,94.40000000000002,0.0,2,0,active-inactive,0.0534169040620327,-0.07472138851881027,-0.06085367500782013,0,0.0534169040620327,-0.06085367500782013,0.11427057906985283,0.12813829258084297,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
305,61.0,B_front,background_mainline,True,,260.0,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
305,61.0,B_rear,background_mainline,True,,260.7500426913789,0.0,,,,,,,,,,,,,,,,,,,,,,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
306,61.2,A,ramp,True,False,94.40000000000002,0.0,2,decelerate,-3.0,0.0,260.0,0.0,2,0,active-inactive,-0.05676708742976189,0.0286481324583292,0.13290642201900482,2,0.13290642201900482,0.0286481324583292,0.10425828956067562,0.1896735094487667,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
306,61.2,B,mainline,False,True,260.0,0.0,0,maintain,0.0,0.0,94.40000000000002,0.0,2,0,active-inactive,0.0534169040620327,-0.07472138851881027,-0.06085367500782013,0,0.0534169040620327,-0.06085367500782013,0.11427057906985283,0.12813829258084297,"[true, true, true]",False,False,False,67017,0,43fcf514acd5bcb27d5a25f8526d9e1fba8367c6ad09cdaff8486b9d256535fd,validation_007,1,6,55662605,13,
