master_seed,checkpoint_step,condition,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,rich_log
66009,50000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66009,75000,mean_pbrs,0.8125,0.0625,0.125,0.25,16,False
66009,100000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66009,125000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66009,150000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66009,175000,mean_pbrs,1.0,0.0,0.0,0.375,16,False
66009,200000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66009,225000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66009,250000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66009,275000,mean_pbrs,0.875,0.125,0.0,0.0,64,False
66009,300000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66009,325000,mean_pbrs,0.9375,0.0625,0.0,0.25,64,False
66009,350000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66009,375000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,True
66009,400000,mean_pbrs,1.0,0.0,0.0,0.25,64,True
66010,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66010,25000,mean_pbrs,0.8125,0.0625,0.125,0.0,16,False
66010,50000,mean_pbrs,0.5625,0.25,0.1875,0.125,16,False
66010,75000,mean_pbrs,0.875,0.0,0.125,0.0,16,False
66010,100000,mean_pbrs,0.9375,0.0625,0.0,0.125,16,False
66010,125000,mean_pbrs,0.875,0.125,0.0,0.25,16,False
66010,150000,mean_pbrs,0.875,0.125,0.0,0.25,16,False
66010,175000,mean_pbrs,0.8125,0.125,0.0625,0.25,16,False
66010,200000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66010,225000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66010,250000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66010,275000,mean_pbrs,0.75,0.25,0.0,0.25,64,False
66010,300000,mean_pbrs,1.0,0.0,0.0,0.5,64,False
66010,325000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66010,350000,mean_pbrs,1.0,0.0,0.0,0.5,64,True
66010,375000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66010,400000,mean_pbrs,1.0,0.0,0.0,0.625,64,True
66011,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66011,25000,mean_pbrs,0.9375,0.0625,0.0,0.375,16,False
66011,50000,mean_pbrs,0.8125,0.0,0.1875,0.5,16,False
66011,75000,mean_pbrs,0.8125,0.0,0.1875,0.25,16,False
66011,100000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66011,125000,mean_pbrs,0.8125,0.0,0.1875,0.0,16,False
66011,150000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66011,175000,mean_pbrs,0.8125,0.0625,0.125,0.0,16,False
66011,200000,mean_pbrs,0.25,0.0625,0.6875,0.0,64,False
66011,225000,mean_pbrs,0.9375,0.0,0.0625,0.0,64,False
66011,250000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66011,275000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66011,300000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66011,325000,mean_pbrs,0.875,0.125,0.0,0.0,64,False
66011,350000,mean_pbrs,0.875,0.125,0.0,0.125,64,True
66011,375000,mean_pbrs,0.9375,0.0625,0.0,0.25,64,True
66011,400000,mean_pbrs,0.6875,0.0,0.3125,0.0,64,True
66012,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66012,25000,mean_pbrs,0.125,0.0625,0.8125,0.0,16,False
66012,50000,mean_pbrs,0.875,0.125,0.0,0.5,16,False
66012,75000,mean_pbrs,0.6875,0.0,0.3125,0.0,16,False
66012,100000,mean_pbrs,0.8125,0.0,0.1875,0.5,16,False
66012,125000,mean_pbrs,0.8125,0.0625,0.125,0.125,16,False
66012,150000,mean_pbrs,0.125,0.0625,0.8125,0.0,16,False
66012,175000,mean_pbrs,0.9375,0.0,0.0625,0.25,16,False
66012,200000,mean_pbrs,0.9375,0.0625,0.0,0.25,64,False
66012,225000,mean_pbrs,0.9375,0.0,0.0625,0.25,64,False
66012,250000,mean_pbrs,0.875,0.125,0.0,0.375,64,False
66012,275000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66012,300000,mean_pbrs,0.9375,0.0625,0.0,0.125,64,False
66012,325000,mean_pbrs,0.5625,0.0,0.4375,0.0,64,False
66012,350000,mean_pbrs,1.0,0.0,0.0,0.125,64,True
66012,375000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66012,400000,mean_pbrs,0.5,0.0,0.5,0.0,64,True
66013,0,mean_pbrs,1.0,0.0,0.0,1.0,16,True
66013,25000,mean_pbrs,0.875,0.125,0.0,0.5,16,False
66013,50000,mean_pbrs,0.6875,0.125,0.1875,0.125,16,False
66013,75000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66013,100000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66013,125000,mean_pbrs,0.875,0.0,0.125,0.125,16,False
66013,150000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66013,175000,mean_pbrs,0.75,0.1875,0.0625,0.5,16,False
66013,200000,mean_pbrs,0.8125,0.0,0.1875,0.125,64,False
66013,225000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66013,250000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66013,275000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66013,300000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,False
66013,325000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66013,350000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,True
66013,375000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66013,400000,mean_pbrs,0.9375,0.0625,0.0,0.0,64,True
66014,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66014,25000,mean_pbrs,0.3125,0.125,0.5625,0.0,16,False
66014,50000,mean_pbrs,0.125,0.0625,0.8125,0.0,16,False
66014,75000,mean_pbrs,0.3125,0.1875,0.5,0.0,16,False
66014,100000,mean_pbrs,0.5625,0.0625,0.375,0.25,16,False
66014,125000,mean_pbrs,0.125,0.125,0.75,0.0,16,False
66014,150000,mean_pbrs,0.875,0.0,0.125,0.0,16,False
66014,175000,mean_pbrs,0.8125,0.1875,0.0,0.5,16,False
66014,200000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66014,225000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66014,250000,mean_pbrs,0.875,0.125,0.0,0.25,64,False
66014,275000,mean_pbrs,0.5,0.0,0.5,0.0,64,False
66014,300000,mean_pbrs,0.375,0.125,0.5,0.0,64,False
66014,325000,mean_pbrs,0.5,0.0,0.5,0.0,64,False
66014,350000,mean_pbrs,0.375,0.125,0.5,0.0,64,True
66014,375000,mean_pbrs,1.0,0.0,0.0,0.75,64,True
66014,400000,mean_pbrs,1.0,0.0,0.0,0.875,64,True
66015,0,mean_pbrs,1.0,0.0,0.0,1.0,16,True
66015,25000,mean_pbrs,0.4375,0.25,0.3125,0.0,16,False
66015,50000,mean_pbrs,1.0,0.0,0.0,0.375,16,False
66015,75000,mean_pbrs,1.0,0.0,0.0,0.0,16,False
66015,100000,mean_pbrs,1.0,0.0,0.0,0.25,16,False
66015,125000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66015,150000,mean_pbrs,1.0,0.0,0.0,0.0,16,False
66015,175000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66015,200000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66015,225000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66015,250000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66015,275000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66015,300000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66015,325000,mean_pbrs,0.875,0.125,0.0,0.0,64,False
66015,350000,mean_pbrs,1.0,0.0,0.0,0.0,64,True
66015,375000,mean_pbrs,1.0,0.0,0.0,0.125,64,True
66015,400000,mean_pbrs,1.0,0.0,0.0,0.25,64,True
66016,0,mean_pbrs,0.0,0.0,1.0,0.0,16,True
66016,25000,mean_pbrs,0.5,0.0625,0.4375,0.125,16,False
66016,50000,mean_pbrs,0.5625,0.1875,0.25,0.0,16,False
66016,75000,mean_pbrs,1.0,0.0,0.0,0.625,16,False
66016,100000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66016,125000,mean_pbrs,0.3125,0.0,0.6875,0.0,16,False
66016,150000,mean_pbrs,0.9375,0.0625,0.0,0.25,16,False
66016,175000,mean_pbrs,1.0,0.0,0.0,0.75,16,False
66016,200000,mean_pbrs,0.6875,0.0,0.3125,0.125,64,False
66016,225000,mean_pbrs,0.9375,0.0,0.0625,0.625,64,False
66016,250000,mean_pbrs,0.9375,0.0625,0.0,0.25,64,False
66016,275000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
66016,300000,mean_pbrs,1.0,0.0,0.0,0.375,64,False
66016,325000,mean_pbrs,1.0,0.0,0.0,0.625,64,False
66016,350000,mean_pbrs,1.0,0.0,0.0,0.75,64,True
66016,375000,mean_pbrs,1.0,0.0,0.0,0.375,64,True
66016,400000,mean_pbrs,0.875,0.125,0.0,0.125,64,True
66017,0,mean_pbrs,0.5,0.0,0.5,0.0,16,True
66017,25000,mean_pbrs,0.4375,0.0625,0.5,0.0,16,False
66017,50000,mean_pbrs,0.5,0.0625,0.4375,0.125,16,False
66017,75000,mean_pbrs,0.6875,0.0,0.3125,0.0,16,False
66017,100000,mean_pbrs,1.0,0.0,0.0,0.5,16,False
66017,125000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66017,150000,mean_pbrs,1.0,0.0,0.0,0.125,16,False
66017,175000,mean_pbrs,0.8125,0.1875,0.0,0.0,16,False
66017,200000,mean_pbrs,1.0,0.0,0.0,0.0,64,False
66017,225000,mean_pbrs,1.0,0.0,0.0,0.25,64,False
66017,250000,mean_pbrs,1.0,0.0,0.0,0.5,64,False
66017,275000,mean_pbrs,0.9375,0.0625,0.0,0.375,64,False
66017,300000,mean_pbrs,1.0,0.0,0.0,0.125,64,False
