master_seed,validation_block_id,assignment,controller,outcome,mean_abs_Q,Q_margin_mean,Q_margin_median,Q_margin_q10,Q_margin_q90,frac_margin_lt_1e-3,frac_margin_lt_1e-2,frac_margin_lt_5e-2
61004,validation_002,1,A,success,0.6346193986634413,0.07712194944421445,0.02417773008346555,0.00945571660995481,0.2548652812838554,0.0,0.11666666666666667,0.75
61004,validation_002,1,B,success,0.6856798753142357,0.007950607935587503,0.00817915797233575,0.00165479183197014,0.01280552148818965,0.06666666666666667,0.7,1.0
61004,validation_003,0,A,success,0.6931526055841735,0.033057465779879815,0.0053364038467407,0.0017023086547851,0.1235157549381256,0.024793388429752067,0.6776859504132231,0.7024793388429752
61004,validation_003,0,B,success,0.8431847093847501,0.007378196913348692,0.0043393373489379,0.0007603764533996,0.0200488567352294,0.14049586776859505,0.7355371900826446,1.0
61004,validation_003,1,A,success,0.7190105919955206,0.01321126154211696,0.009390115737915,0.0027400255203247,0.0287235975265502,0.03278688524590164,0.5409836065573771,1.0
61004,validation_003,1,B,success,0.8971912088941355,0.011909060790890503,0.0097710490226745,0.001074194908142,0.0228874683380126,0.09836065573770492,0.5245901639344263,0.9836065573770492
61004,validation_004,0,A,success,0.696378850698471,0.03222117114067073,0.0055502653121948,0.00138764381408686,0.12057129740715021,0.048,0.656,0.704
61004,validation_004,0,B,success,0.8153861714998881,0.0095023803710937,0.0038205385208129,0.00085867643356318,0.028261983394622752,0.128,0.696,1.0
61004,validation_004,1,A,success,0.6672194106711282,0.08021082356572147,0.023717522621154702,0.0061783373355864795,0.25956670269370075,0.0,0.16666666666666666,0.7333333333333333
61004,validation_004,1,B,success,0.73729906545745,0.008729427059491434,0.008117735385894751,0.0018078923225402102,0.015795737504959072,0.05,0.6166666666666667,1.0
61004,validation_005,0,A,success,0.7836695317592886,0.009629516551891914,0.00913864374160765,0.00124392509460444,0.0203833699226379,0.08333333333333333,0.5416666666666666,1.0
61004,validation_005,0,B,success,0.7225760391188992,0.021791989604632012,0.0254067182540893,0.00219076871871942,0.03652241230010979,0.020833333333333332,0.2916666666666667,1.0
61004,validation_005,1,A,success,0.6359430272733012,0.08259662024436455,0.0184894204139709,0.0048019707202911,0.2573528066277504,0.03225806451612903,0.27419354838709675,0.6935483870967742
61004,validation_005,1,B,success,0.7233518704932224,0.008376505105726134,0.007265627384185749,0.00194770097732536,0.016850501298904412,0.06451612903225806,0.7096774193548387,1.0
61004,validation_006,0,A,success,0.6894067613471524,0.03210069438603915,0.0065980553627014,0.00126526355743404,0.12064114809036251,0.07086614173228346,0.6377952755905512,0.7007874015748031
61004,validation_006,0,B,success,0.8325411090700645,0.00941809002808694,0.0034599304199218,0.0008952379226684,0.030079150199890083,0.11811023622047244,0.7401574803149606,1.0
61004,validation_006,1,A,success,0.6513217473703046,0.08316152951409735,0.02206099033355705,0.008881366252899111,0.25732760727405546,0.0,0.12903225806451613,0.7096774193548387
61004,validation_006,1,B,success,0.716760382857374,0.00919186972802681,0.01011613011360165,0.0012931704521178303,0.016658383607864306,0.06451612903225806,0.5,1.0
61004,validation_007,0,A,success,0.7724133460668096,0.035042461857461044,0.0084546208381652,0.00120105743408194,0.17501525282859798,0.08771929824561403,0.6140350877192983,0.8421052631578947
61004,validation_007,0,B,success,0.9022849083643908,0.007931768894195508,0.0078141689300537,0.0016014456748962202,0.013846004009246739,0.08771929824561403,0.631578947368421,1.0
61004,validation_007,1,A,success,0.6407233521171,0.08169063206376696,0.01770740747451775,0.00643383264541625,0.27700476795434953,0.0,0.15517241379310345,0.7413793103448276
61004,validation_007,1,B,success,0.71290023025425,0.007369202786478454,0.0064088702201843,0.00190773606300353,0.012061941623687742,0.05172413793103448,0.7586206896551724,1.0
61004,validation_008,0,A,success,0.7035901097115129,0.031692442949861246,0.00640019774436945,0.00165530443191526,0.11785812079906459,0.0390625,0.640625,0.7109375
