master_seed,checkpoint_step,condition,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,rich_log
67010,250000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67010,275000,min_pbrs,0.9375,0.0625,0.0,0.625,64,False
67010,300000,min_pbrs,0.9375,0.0625,0.0,0.625,64,False
67010,325000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67010,350000,min_pbrs,0.625,0.1875,0.1875,0.125,64,True
67010,375000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67010,400000,min_pbrs,1.0,0.0,0.0,0.375,64,True
67011,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67011,25000,min_pbrs,0.3125,0.0625,0.625,0.0,16,False
67011,50000,min_pbrs,0.875,0.0625,0.0625,0.375,16,False
67011,75000,min_pbrs,0.8125,0.1875,0.0,0.0,16,False
67011,100000,min_pbrs,0.75,0.0625,0.1875,0.0,16,False
67011,125000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67011,150000,min_pbrs,0.9375,0.0625,0.0,0.125,16,False
67011,175000,min_pbrs,0.9375,0.0625,0.0,0.0,16,False
67011,200000,min_pbrs,0.9375,0.0,0.0625,0.0,64,False
67011,225000,min_pbrs,0.9375,0.0625,0.0,0.0,64,False
67011,250000,min_pbrs,0.9375,0.0625,0.0,0.25,64,False
67011,275000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67011,300000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67011,325000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67011,350000,min_pbrs,1.0,0.0,0.0,0.25,64,True
67011,375000,min_pbrs,0.6875,0.0,0.3125,0.0,64,True
67011,400000,min_pbrs,0.3125,0.1875,0.5,0.0,64,True
67012,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67012,25000,min_pbrs,0.6875,0.0625,0.25,0.0,16,False
67012,50000,min_pbrs,0.6875,0.0625,0.25,0.0,16,False
67012,75000,min_pbrs,0.9375,0.0,0.0625,0.125,16,False
67012,100000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67012,125000,min_pbrs,0.625,0.1875,0.1875,0.0,16,False
67012,150000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67012,175000,min_pbrs,0.9375,0.0,0.0625,0.125,16,False
67012,200000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67012,225000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67012,250000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67012,275000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67012,300000,min_pbrs,1.0,0.0,0.0,0.375,64,False
67012,325000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67012,350000,min_pbrs,0.9375,0.0,0.0625,0.125,64,True
67012,375000,min_pbrs,1.0,0.0,0.0,0.25,64,True
67012,400000,min_pbrs,0.875,0.125,0.0,0.0,64,True
67013,0,min_pbrs,0.375,0.625,0.0,0.0,16,True
67013,25000,min_pbrs,0.9375,0.0625,0.0,0.25,16,False
67013,50000,min_pbrs,0.75,0.0625,0.1875,0.25,16,False
67013,75000,min_pbrs,0.8125,0.1875,0.0,0.25,16,False
67013,100000,min_pbrs,0.9375,0.0625,0.0,0.25,16,False
67013,125000,min_pbrs,0.8125,0.0625,0.125,0.0,16,False
67013,150000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67013,175000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67013,200000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67013,225000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67013,250000,min_pbrs,0.875,0.125,0.0,0.0,64,False
67013,275000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67013,300000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67013,325000,min_pbrs,0.875,0.0,0.125,0.125,64,False
67013,350000,min_pbrs,0.5,0.0,0.5,0.0,64,True
67013,375000,min_pbrs,0.75,0.25,0.0,0.0,64,True
67013,400000,min_pbrs,0.8125,0.1875,0.0,0.0,64,True
67014,0,min_pbrs,0.375,0.625,0.0,0.0,16,True
67014,25000,min_pbrs,0.875,0.0,0.125,0.25,16,False
67014,50000,min_pbrs,0.9375,0.0625,0.0,0.5,16,False
67014,75000,min_pbrs,0.875,0.125,0.0,0.0,16,False
67014,100000,min_pbrs,0.9375,0.0625,0.0,0.25,16,False
67014,125000,min_pbrs,0.9375,0.0,0.0625,0.375,16,False
67014,150000,min_pbrs,0.9375,0.0625,0.0,0.125,16,False
67014,175000,min_pbrs,0.9375,0.0625,0.0,0.25,16,False
67014,200000,min_pbrs,0.9375,0.0625,0.0,0.0,64,False
67014,225000,min_pbrs,0.9375,0.0625,0.0,0.0,64,False
67014,250000,min_pbrs,0.9375,0.0,0.0625,0.125,64,False
67014,275000,min_pbrs,0.875,0.0,0.125,0.125,64,False
67014,300000,min_pbrs,0.875,0.0625,0.0625,0.0,64,False
67014,325000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67014,350000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67014,375000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67014,400000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67015,0,min_pbrs,0.5,0.0,0.5,0.0,16,True
67015,25000,min_pbrs,0.75,0.0,0.25,0.25,16,False
67015,50000,min_pbrs,0.875,0.0,0.125,0.125,16,False
67015,75000,min_pbrs,0.625,0.0,0.375,0.125,16,False
67015,100000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67015,125000,min_pbrs,0.8125,0.1875,0.0,0.125,16,False
67015,150000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67015,175000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67015,200000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67015,225000,min_pbrs,1.0,0.0,0.0,0.0,64,False
67015,250000,min_pbrs,0.5,0.0,0.5,0.0,64,False
67015,275000,min_pbrs,0.375,0.125,0.5,0.0,64,False
67015,300000,min_pbrs,0.5,0.0,0.5,0.0,64,False
67015,325000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67015,350000,min_pbrs,1.0,0.0,0.0,0.625,64,True
67015,375000,min_pbrs,1.0,0.0,0.0,0.75,64,True
67015,400000,min_pbrs,0.9375,0.0625,0.0,0.5,64,True
67016,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67016,25000,min_pbrs,0.625,0.0625,0.3125,0.125,16,False
67016,50000,min_pbrs,0.5,0.0,0.5,0.0,16,False
67016,75000,min_pbrs,0.625,0.125,0.25,0.0,16,False
67016,100000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67016,125000,min_pbrs,0.75,0.25,0.0,0.25,16,False
67016,150000,min_pbrs,0.75,0.0,0.25,0.0,16,False
67016,175000,min_pbrs,1.0,0.0,0.0,0.0,16,False
67016,200000,min_pbrs,0.9375,0.0625,0.0,0.375,64,False
67016,225000,min_pbrs,0.625,0.125,0.25,0.0,64,False
67016,250000,min_pbrs,0.875,0.125,0.0,0.25,64,False
67016,275000,min_pbrs,0.5,0.0625,0.4375,0.0,64,False
67016,300000,min_pbrs,1.0,0.0,0.0,0.0,64,False
67016,325000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67016,350000,min_pbrs,1.0,0.0,0.0,0.25,64,True
67016,375000,min_pbrs,1.0,0.0,0.0,0.25,64,True
67016,400000,min_pbrs,0.875,0.125,0.0,0.0,64,True
67017,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67017,25000,min_pbrs,0.75,0.0,0.25,0.25,16,False
67017,50000,min_pbrs,0.1875,0.0625,0.75,0.0,16,False
67017,75000,min_pbrs,0.6875,0.1875,0.125,0.375,16,False
67017,100000,min_pbrs,1.0,0.0,0.0,1.0,16,False
67017,125000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67017,150000,min_pbrs,0.625,0.0,0.375,0.0,16,False
67017,175000,min_pbrs,0.625,0.0625,0.3125,0.0,16,False
67017,200000,min_pbrs,0.75,0.1875,0.0625,0.0,64,False
67017,225000,min_pbrs,0.375,0.0,0.625,0.0,64,False
67017,250000,min_pbrs,0.625,0.0,0.375,0.0,64,False
67017,275000,min_pbrs,0.75,0.1875,0.0625,0.125,64,False
67017,300000,min_pbrs,1.0,0.0,0.0,0.375,64,False
67017,325000,min_pbrs,0.8125,0.0,0.1875,0.125,64,False
67017,350000,min_pbrs,0.9375,0.0625,0.0,0.75,64,True
67017,375000,min_pbrs,0.8125,0.0625,0.125,0.625,64,True
67017,400000,min_pbrs,0.6875,0.0,0.3125,0.375,64,True
67018,0,min_pbrs,0.5,0.0,0.5,0.0,16,True
67018,25000,min_pbrs,0.9375,0.0,0.0625,0.25,16,False
67018,50000,min_pbrs,0.0,0.0,1.0,0.0,16,False
67018,75000,min_pbrs,0.0625,0.0,0.9375,0.0,16,False
67018,100000,min_pbrs,0.3125,0.0,0.6875,0.0,16,False
67018,125000,min_pbrs,0.125,0.0,0.875,0.0,16,False
67018,150000,min_pbrs,0.5,0.0,0.5,0.0,16,False
67018,175000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67018,200000,min_pbrs,0.9375,0.0625,0.0,0.375,64,False
67018,225000,min_pbrs,0.875,0.0625,0.0625,0.0,64,False
67018,250000,min_pbrs,1.0,0.0,0.0,0.625,64,False
67018,275000,min_pbrs,1.0,0.0,0.0,0.375,64,False
67018,300000,min_pbrs,1.0,0.0,0.0,0.5,64,False
67018,325000,min_pbrs,1.0,0.0,0.0,0.5,64,False
67018,350000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67018,375000,min_pbrs,0.875,0.125,0.0,0.0,64,True
67018,400000,min_pbrs,0.8125,0.1875,0.0,0.125,64,True
67019,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67019,25000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67019,50000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67019,75000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67019,100000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67019,125000,min_pbrs,0.875,0.125,0.0,0.0,16,False
67019,150000,min_pbrs,1.0,0.0,0.0,0.5,16,False
67019,175000,min_pbrs,0.875,0.125,0.0,0.375,16,False
67019,200000,min_pbrs,0.4375,0.0625,0.5,0.0,64,False
67019,225000,min_pbrs,0.9375,0.0625,0.0,0.25,64,False
67019,250000,min_pbrs,1.0,0.0,0.0,0.625,64,False
67019,275000,min_pbrs,0.9375,0.0625,0.0,0.0,64,False
67019,300000,min_pbrs,0.875,0.125,0.0,0.25,64,False
67019,325000,min_pbrs,1.0,0.0,0.0,0.0,64,False
67019,350000,min_pbrs,1.0,0.0,0.0,0.125,64,True
67019,375000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67019,400000,min_pbrs,1.0,0.0,0.0,0.0,64,True
67020,0,min_pbrs,0.0,0.0,1.0,0.0,16,True
67020,25000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67020,50000,min_pbrs,0.875,0.0625,0.0625,0.25,16,False
67020,75000,min_pbrs,0.9375,0.0625,0.0,0.125,16,False
67020,100000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67020,125000,min_pbrs,1.0,0.0,0.0,0.25,16,False
67020,150000,min_pbrs,0.875,0.125,0.0,0.125,16,False
67020,175000,min_pbrs,1.0,0.0,0.0,0.125,16,False
67020,200000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67020,225000,min_pbrs,0.9375,0.0625,0.0,0.125,64,False
67020,250000,min_pbrs,1.0,0.0,0.0,0.125,64,False
67020,275000,min_pbrs,1.0,0.0,0.0,0.0,64,False
67020,300000,min_pbrs,1.0,0.0,0.0,0.25,64,False
67020,325000,min_pbrs,1.0,0.0,0.0,0.375,64,False
67020,350000,min_pbrs,1.0,0.0,0.0,0.375,64,True
67020,375000,min_pbrs,0.75,0.25,0.0,0.0,64,True
67020,400000,min_pbrs,0.375,0.0625,0.5625,0.0,64,True
