formal_job_id,condition,master_seed,checkpoint,step,size_bytes,sha256,published,reason_not_published
min_pbrs__61001,min_pbrs,61001,ckpt_step_025000.pt,25000,45850768,84df447f627c4066092e9d958337e4f9c0c2067d2fa166bd40b5686b86f09b17,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61001,min_pbrs,61001,ckpt_step_050000.pt,50000,44696464,fd8a0a66e4f7c376375ff9b3a854107b15dedc09ce35dbcfe922634e0fa52ed1,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61001,min_pbrs,61001,ckpt_step_075000.pt,75000,43788048,ca5f2f52d4db111a3620dc1c0ebf6cf757910901ce27ee61e6111af6fd8d6eb7,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61001,min_pbrs,61001,ckpt_step_100000.pt,100000,43433680,de36343f94f8fad6f7f3fba8c581876d8e7e29bd6d2cf9d5b84798a29b462172,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61001,min_pbrs,61001,final_online_target_weights.pt,100000,106765,36343762ebb0501833d0ab277137787858cfde7e67b39382ed2d1edf311b033e,True,
min_pbrs__61002,min_pbrs,61002,ckpt_step_010000.pt,10000,20218064,ddeb6270a16b274e60caf87efe420361153151b750bbf7451d76fcfcf4bc40f7,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61002,min_pbrs,61002,ckpt_step_025000.pt,25000,45973264,2b6800daafe6554c7c6818363e12e9d0acb504b7321b68758b04612036e04f45,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61002,min_pbrs,61002,ckpt_step_050000.pt,50000,44290384,b449b81397c31456f89a2f8e0b92b110c5e274a5865be9d989f3710a62528c6a,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61002,min_pbrs,61002,ckpt_step_075000.pt,75000,43347664,2864cbe5372f5bd8757851e8f02d461a77c13244ba322f871ccb31f76cdfdb3c,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61002,min_pbrs,61002,ckpt_step_100000.pt,100000,43137104,e1a4b29882a0fa08adaaeef1fe9c160920d173c050becc43c286968c390e339c,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61002,min_pbrs,61002,final_online_target_weights.pt,100000,106765,9cb0e1a573bd831e291b764aa65c91e2476e382fd82f25c0f2784251a1c12594,True,
min_pbrs__61003,min_pbrs,61003,ckpt_step_010000.pt,10000,19406608,e3e2c6dd2b6d4b2667e8dfb1b6808ccf4b2837d3af5710a76d3b343adbc46392,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61003,min_pbrs,61003,ckpt_step_025000.pt,25000,47251344,f25822969f6a45d39ef7e620e8757c772ceaf1202fcc06d687a2026c3da6f917,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61003,min_pbrs,61003,ckpt_step_050000.pt,50000,47051088,937b69daa16cc1f7def0c3e4dcc5184c0ade5284414fe3b1d9da8dfbb48ff8fe,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61003,min_pbrs,61003,ckpt_step_075000.pt,75000,45173520,c891991949e45c90cb7b706af198e8b4694cafbda13e6b35881126e9d9cc2aff,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61003,min_pbrs,61003,ckpt_step_100000.pt,100000,47664848,1e5dcf96fca7d969794e42927c75eb0b8dc0b39704ac89063315f9f7520d8999,False,local_only_intermediate_or_replay_checkpoint
min_pbrs__61003,min_pbrs,61003,final_online_target_weights.pt,100000,106765,8902b5ffa5081ae406f12a3158c1b7dfb56d7be491d8166e5d82210a08f90dec,True,
min_pbrs__61004,min_pbrs,61004,ckpt_step_010000.pt,10000,21548688,2869f14268c346dbd9d3358e030929a9f4dc791de5b5d8860893e7da73b99167,False,local_only_intermediate_or_replay_checkpoint
