condition,master_seed,checkpoint_step,n_episodes,success_rate,collision_rate,truncation_rate,mean_episode_length,unilateral_stall_rate,mutual_yielding_rate,convention_availability,swap_eligibility,minimum_utility,mean_utility,median_Q_margin,absolute_Q,late_collapse_flag
double_dqn,63005,200000,16,0.9375,0.0625,0.0,52.3125,0.0,0.0,1.0,0.875,0.8261962730392458,0.9225664943863514,0.02516887845037285,0.7627784281060426,False
double_dqn,63005,250000,16,0.9375,0.0625,0.0,50.8125,0.0,0.0,1.0,0.875,0.8190751433552015,0.9224996431727449,0.01495778847485775,0.7393991288414274,False
double_dqn,63005,300000,16,0.9375,0.0625,0.0,54.75,0.0,0.0,1.0,0.875,0.803417232955206,0.9154112392705926,0.0159987203129395,0.7472757800627117,False
double_dqn,63006,0,16,0.25,0.75,0.0,25.0,0.0,0.0,1.0,0.25,0.23454477168625626,0.6040274001923807,0.11980341612878764,0.09159366933422249,False
double_dqn,63006,10000,16,0.0625,0.0625,0.875,357.25,0.8125,0.0625,1.0,0.0,0.07047459337397603,0.5845366011287718,0.14831131150480356,1.5591328805860802,False
double_dqn,63006,25000,16,1.0,0.0,0.0,67.25,0.0,0.0,1.0,1.0,0.7940145771936102,0.9031175402840005,0.04099329687276125,0.9342754766115331,False
double_dqn,63006,50000,16,1.0,0.0,0.0,79.4375,0.0,0.0,1.0,1.0,0.6946220493997406,0.8415103465989018,0.02350420522057765,0.7366951383419835,False
double_dqn,63006,75000,16,0.625,0.0,0.375,194.6875,0.375,0.0,1.0,0.25,0.5050266180207528,0.7522386109751806,0.01339668129109925,0.718542829944413,False
double_dqn,63006,100000,16,0.9375,0.0,0.0625,81.75,0.0625,0.0,1.0,0.875,0.8159940665263129,0.9161106913209807,0.01231348368174885,0.8118912219412593,False
double_dqn,63006,150000,16,0.8125,0.0,0.1875,123.75,0.1875,0.0,1.0,0.625,0.6834302511717902,0.8152575349329787,0.014580016454888649,0.8459646106651806,False
double_dqn,63006,200000,16,0.875,0.0,0.125,100.125,0.125,0.0,1.0,0.75,0.760702402201776,0.8926806977377336,0.010111083746799851,0.6898341618167889,False
double_dqn,63006,250000,16,1.0,0.0,0.0,50.375,0.0,0.0,1.0,1.0,0.9181273733882611,0.9698052640158488,0.01919532419011295,0.6968126305545759,False
double_dqn,63006,300000,16,1.0,0.0,0.0,55.9375,0.0,0.0,1.0,1.0,0.8819930291110241,0.9520218591648723,0.04265198852920875,0.7965371983760444,False
double_dqn,63007,0,16,0.1875,0.8125,0.0,23.8125,0.0,0.0,1.0,0.125,0.17375491885587707,0.5726106184135105,0.0933741502442032,0.12349568946317149,False
double_dqn,63007,10000,16,0.8125,0.125,0.0625,129.9375,0.0625,0.0,1.0,0.75,0.3646162404143,0.7194212656206953,0.05267174870911075,0.538106934812393,False
double_dqn,63007,25000,16,0.875,0.0625,0.0625,107.0625,0.0625,0.0,1.0,0.75,0.6253689668293048,0.7790701528175159,0.020582790913582,0.7609295851280862,False
double_dqn,63007,50000,16,1.0,0.0,0.0,60.3125,0.0,0.0,1.0,1.0,0.8455702839753187,0.9337511196468304,0.021299808435255148,0.7156307412802039,False
double_dqn,63007,75000,16,0.9375,0.0625,0.0,51.4375,0.0,0.0,1.0,0.875,0.8386588886191398,0.930184697380837,0.0206986796768272,0.7763220241148538,False
double_dqn,63007,100000,16,0.4375,0.0,0.5625,255.4375,0.4375,0.125,1.0,0.125,0.3655533296310142,0.659157989259099,0.022737193964421698,0.782710715396974,False
double_dqn,63007,150000,16,0.6875,0.125,0.1875,114.1875,0.1875,0.0,1.0,0.375,0.6082507832147059,0.812599767358702,0.02686158910422755,1.0194828720808249,False
double_dqn,63007,200000,16,0.75,0.0625,0.1875,125.0,0.1875,0.0,1.0,0.5,0.614214253823965,0.8516144134625703,0.0214698949140006,0.7529477904051118,False
double_dqn,63007,250000,16,1.0,0.0,0.0,54.375,0.0,0.0,1.0,1.0,0.9002615163017964,0.9629911786574272,0.0233443772121905,0.7467791511870792,False
double_dqn,63007,300000,16,0.0,0.0,1.0,400.0,1.0,0.0,1.0,0.0,0.03677187499999997,0.6256950217875286,0.07199024267494675,0.5631392346974462,True
double_dqn,63008,0,16,0.0,0.0,1.0,400.0,0.0,1.0,1.0,0.0,0.031381249999999944,0.2798866497421122,0.1212887321040034,0.10248871846328252,False
double_dqn,63008,10000,16,0.25,0.6875,0.0625,56.9375,0.0625,0.0,1.0,0.0,0.23146758070665147,0.6035273792231081,0.04798008785112545,0.4996441849995461,False
double_dqn,63008,25000,16,0.5625,0.0625,0.375,253.875,0.375,0.0,1.0,0.125,0.2952290147790157,0.6418418905669548,0.0231220011909124,0.8918244431686446,False
double_dqn,63008,50000,16,0.5,0.0625,0.4375,208.375,0.4375,0.0,1.0,0.125,0.40741493585589006,0.7068817951634737,0.02759816238656635,1.0241680822673502,False
double_dqn,63008,75000,16,0.8125,0.0625,0.125,129.625,0.0,0.0,1.0,0.625,0.5897978336615056,0.7935434807180441,0.008360348735004599,0.6890864016647056,False
