endpoint,endpoint_key,checkpoint_step,n_paired_seeds,mean_paired_difference,median_paired_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,raw_p,holm_adjusted_p,cohen_dz,rank_biserial,improved_seed_count_double_higher,unchanged_seed_count,degraded_seed_count_double_lower,wilcoxon_defined,wilcoxon_reason,multiplicity_family
unilateral_stall,unilateral_stall_rate,150000,20,-0.265625,-0.21875,-0.446875,-0.07804687500000114,26.0,0.01674542145293457,,-0.6203605488271082,-0.6470588235294118,3,3,14,True,,exploratory
mutual_yielding,mutual_yielding_rate,150000,20,-0.065625,0.0,-0.140625,0.0,10.0,0.07239207373879514,,-0.4062091922122534,-0.6,2,10,8,True,,exploratory
Q_margin,median_Q_margin,150000,20,0.0019485727229377199,0.00026437169870837524,-0.0037101692453658905,0.008435943960517181,103.0,0.956329345703125,,0.13503076590663904,0.0,10,0,10,True,,exploratory
minimum_utility,minimum_utility,150000,20,0.3166657582575162,0.3723381135682771,0.20926174549550994,0.42050088820537,6.0,2.6702880859375e-05,,1.302219187961258,0.9,19,0,1,True,,exploratory
mean_utility,mean_utility,150000,20,0.1658583003635269,0.16040278567324456,0.10491822450925092,0.22426678830260494,8.0,4.76837158203125e-05,,1.1901633310271489,0.8,18,0,2,True,,exploratory
swap_eligibility,swap_eligibility,150000,20,0.39375,0.4375,0.21875,0.55,14.5,0.0011445122912811872,,1.0162403522663144,0.6842105263157895,16,1,3,True,,exploratory
success,success_rate,200000,20,0.3375,0.34375,0.2,0.48125,10.5,0.0006410615217677183,,1.03540273494395,0.6842105263157895,16,1,3,True,,exploratory
collision,collision_rate,200000,20,-0.025,0.0,-0.096875,0.025078124999998865,37.0,0.8710789339513745,,-0.1719650674869686,0.0,6,8,6,True,,exploratory
truncation,truncation_rate,200000,20,-0.3125,-0.28125,-0.478125,-0.15,14.0,0.005158727845187974,,-0.8179328117315274,-0.625,3,4,13,True,,exploratory
episode_length,mean_episode_length,200000,20,-111.353125,-91.21875,-168.75523437500001,-55.50781250000007,28.0,0.002712249755859375,,-0.8407497238704157,-0.6,4,0,16,True,,exploratory
unilateral_stall,unilateral_stall_rate,200000,20,-0.175,-0.15625,-0.315625,-0.025,27.0,0.03349425021597348,,-0.5142845869396013,-0.625,3,4,13,True,,exploratory
mutual_yielding,mutual_yielding_rate,200000,20,-0.14375,0.0,-0.24375,-0.05625,0.0,0.01151382807684542,,-0.6607725252669768,-1.0,0,12,8,True,,exploratory
Q_margin,median_Q_margin,200000,20,0.001062145196703165,-0.0006090198775683996,-0.0033985066648387265,0.005302239046243507,93.0,0.6742229461669922,,0.1038693332621137,-0.1,9,0,11,True,,exploratory
minimum_utility,minimum_utility,200000,20,0.30434263219748753,0.28430936517131217,0.19713999034069332,0.4132695884006245,8.0,4.76837158203125e-05,,1.1933693681072073,0.8,18,0,2,True,,exploratory
mean_utility,mean_utility,200000,20,0.18693277857435592,0.15844835989028266,0.12484519208052008,0.25188938889589113,2.0,5.7220458984375e-06,,1.2467266948337279,0.9,19,0,1,True,,exploratory
swap_eligibility,swap_eligibility,200000,20,0.45,0.5625,0.275,0.61875,9.0,0.00082368123148233,,1.1243067679325296,0.7777777777777778,16,2,2,True,,exploratory
success,success_rate,250000,20,0.109375,0.09375,-0.021875,0.24375,53.5,0.16198488846519343,,0.35345848966803894,0.2222222222222222,11,2,7,True,,exploratory
collision,collision_rate,250000,20,-0.0125,0.0,-0.075,0.04695312499999886,34.0,0.6930875388354132,,-0.08581573914656518,0.0,6,8,6,True,,exploratory
truncation,truncation_rate,250000,20,-0.096875,-0.0625,-0.234375,0.04375,32.0,0.19568320115880833,,-0.2965826494333219,-0.42857142857142855,4,6,10,True,,exploratory
episode_length,mean_episode_length,250000,20,-34.63125,-34.6875,-82.844140625,16.798515624999975,60.0,0.09730720520019531,,-0.2946643141030486,-0.5,5,0,15,True,,exploratory
unilateral_stall,unilateral_stall_rate,250000,20,-0.06875,-0.0625,-0.2125,0.084375,41.0,0.46946102218380403,,-0.19610629299751833,-0.42857142857142855,4,6,10,True,,exploratory
mutual_yielding,mutual_yielding_rate,250000,20,-0.034375,0.0,-0.06875,-0.003125,1.5,0.057779571123597245,,-0.44556924449602664,-0.6666666666666666,1,14,5,True,,exploratory
Q_margin,median_Q_margin,250000,20,0.0003674940522760172,-0.0015750066248575749,-0.005729594356011121,0.006355448596249378,98.0,0.8123550415039062,,0.025822092051330525,-0.1,9,0,11,True,,exploratory
minimum_utility,minimum_utility,250000,20,0.12266021156103361,0.05100599745995958,0.019668720255508507,0.23297419751766563,62.0,0.11398696899414062,,0.4921163943014648,0.2,12,0,8,True,,exploratory
mean_utility,mean_utility,250000,20,0.05298984267365634,0.021106929904436078,0.00016362695147843816,0.11218707057343515,65.0,0.14290618896484375,,0.40524463919876225,0.2,12,0,8,True,,exploratory
swap_eligibility,swap_eligibility,250000,20,0.20625,0.125,-0.01875,0.43125,42.5,0.10617721040078391,,0.3852371853771056,0.29411764705882354,11,3,6,True,,exploratory
success,success_rate,300000,20,0.14375,0.1875,-0.065625,0.3375,59.5,0.15262067570179896,0.6104827028071959,0.30225174452701453,0.2631578947368421,12,1,7,True,,primary_300k
collision,collision_rate,300000,20,0.0125,0.03125,-0.025,0.046875,47.0,0.43234825067605676,0.8284323564850506,0.1512995910934998,0.3333333333333333,10,5,5,True,,primary_300k
truncation,truncation_rate,300000,20,-0.15625,-0.15625,-0.340625,0.04375,56.5,0.11998374304846558,0.5999187152423279,-0.34408547710320464,-0.2631578947368421,7,1,12,True,,primary_300k
episode_length,mean_episode_length,300000,20,-60.121875,-69.78125,-122.60640625,7.592109374999978,59.0,0.08969497680664062,,-0.38975410286909395,-0.2,8,0,12,True,,exploratory
unilateral_stall,unilateral_stall_rate,300000,20,-0.096875,-0.125,-0.284375,0.1,60.0,0.26546186573180075,0.7963855971954023,-0.21419428075707497,-0.2222222222222222,7,2,11,True,,primary_300k
mutual_yielding,mutual_yielding_rate,300000,20,-0.05625,0.0,-0.1,-0.0125,2.5,0.028773826419605155,,-0.5450726989166189,-0.75,1,12,7,True,,exploratory
Q_margin,median_Q_margin,300000,20,0.008793550940093603,0.00016362632554982586,-0.002749753138924156,0.023244879493023736,94.0,0.7011814117431641,,0.28764164933372594,0.0,10,0,10,True,,exploratory
minimum_utility,minimum_utility,300000,20,0.15129531699420598,0.2508581638853262,-0.010420582903639184,0.3023855238819846,59.0,0.08969497680664062,,0.4098729958054646,0.2,12,0,8,True,,exploratory
mean_utility,mean_utility,300000,20,0.09139130436161749,0.10571832996681663,0.015955280318665183,0.1621750831123784,48.0,0.03276824951171875,,0.529226868312904,0.3,13,0,7,True,,exploratory
swap_eligibility,swap_eligibility,300000,20,0.23125,0.375,-0.05625,0.49375,52.0,0.14315214659517517,,0.3554960156747552,0.3333333333333333,12,2,6,True,,exploratory
late_collapse,late_collapse,300000,20,0.1,0.0,-0.15,0.35,7.0,0.4142161782425253,0.8284323564850506,0.18099342720014772,0.3333333333333333,4,14,2,True,,primary_300k
