condition,checkpoint_step,endpoint,n_seeds,mean,sd,median,q25,q75,minimum,maximum,ci_low,ci_high
vanilla_dqn,25000,minimum_utility,20,0.36182102941916827,0.20210823370105782,0.32735701328502603,0.23235507624353796,0.45989625717981114,0.03964375000000003,0.8464387986492123,0.27993572195484795,0.4505976515361546
vanilla_dqn,25000,mean_utility,20,0.6576569207984229,0.12371046682004543,0.6595170941044892,0.5552066990312414,0.7244726223983444,0.47615434085010644,0.9371208312692769,0.6062253258949314,0.7127165510913289
vanilla_dqn,25000,swap_eligibility,20,0.29375,0.38957424466366253,0.125,0.0,0.65625,0.0,1.0,0.1375,0.475
vanilla_dqn,50000,success_rate,20,0.184375,0.2012246633282783,0.125,0.0,0.328125,0.0,0.5625,0.103125,0.275
vanilla_dqn,50000,collision_rate,20,0.021875,0.04657248877316217,0.0,0.0,0.015625,0.0,0.1875,0.00625,0.04375
vanilla_dqn,50000,truncation_rate,20,0.79375,0.1956559480312316,0.8125,0.671875,0.953125,0.4375,1.0,0.709296875,0.875
vanilla_dqn,50000,unilateral_stall_rate,20,0.571875,0.23144550768229613,0.59375,0.484375,0.75,0.0625,0.875,0.471875,0.665625
vanilla_dqn,50000,mutual_yielding_rate,20,0.1875,0.251639361827701,0.125,0.0,0.203125,0.0,0.9375,0.090625,0.303125
vanilla_dqn,50000,median_Q_margin,20,0.023064926370875073,0.01398913095402722,0.016237046885919725,0.014281033928428825,0.03006766921781706,0.008613590337336,0.0557279586233198,0.017642328308899776,0.029342173878787046
vanilla_dqn,50000,minimum_utility,20,0.1738408770066191,0.132201569906878,0.13840957758000133,0.07222421874999964,0.23859655071696037,0.03594999999999997,0.42489243976069124,0.12022976292505587,0.2335597406832021
vanilla_dqn,50000,mean_utility,20,0.5268452694304412,0.10582875739844701,0.5280157438134496,0.4669422568930625,0.6074329918657708,0.3079690242171913,0.7075762672057178,0.48214551666634853,0.5718330480573738
vanilla_dqn,50000,swap_eligibility,20,0.03125,0.0687649505275226,0.0,0.0,0.0,0.0,0.25,0.00625,0.0625
vanilla_dqn,75000,success_rate,20,0.18125,0.18011783423782973,0.125,0.046875,0.265625,0.0,0.5625,0.109375,0.2625
vanilla_dqn,75000,collision_rate,20,0.040625,0.06499936740582861,0.0,0.0,0.0625,0.0,0.1875,0.015625,0.06875
vanilla_dqn,75000,truncation_rate,20,0.778125,0.2102189882629916,0.84375,0.734375,0.875,0.3125,1.0,0.6875,0.8625
vanilla_dqn,75000,unilateral_stall_rate,20,0.534375,0.268612265807251,0.5,0.359375,0.765625,0.0625,1.0,0.415625,0.646875
