path,sha256,size_bytes,mtime_ns,label,captured_at_utc
experiments/formal/stage6b_h1/output/figures/fig_mean_utility_endpoint_by_seed.png,aff879104edc66202ee0fb2123e282b2680731a8b03223932f5576c562598be9,123412,1785431719093708200,formal,2026-07-30T22:42:44.224537+00:00
experiments/formal/stage6b_h1/output/figures/fig_minimum_utility_endpoint_by_seed.png,79f5edc287c9c3da931adc62378b40cf931090c60164ed14affa6c3a69580ebf,144955,1785431719356495500,formal,2026-07-30T22:42:44.225467+00:00
experiments/formal/stage6b_h1/output/figures/fig_success_endpoint_by_seed.png,19587279f35336e8f124e61b8f07d5fcb412067acbdc935b9bccf9fcc6d6d042,162014,1785431718292383500,formal,2026-07-30T22:42:44.226323+00:00
experiments/formal/stage6b_h1/output/manifests/acceptance_checks.json,dc66778485b8e244cb09a256c9a711734d79066d00d6f7ed5eccaf53d89c4925,1189,1785431717991060700,formal,2026-07-30T22:42:44.227084+00:00
experiments/formal/stage6b_h1/output/manifests/analysis_manifest.json,17fc1ee1c92dd4ecf9f521c46d579ed90724c01878b30173949e502c1cd895dd,7270,1785432874553457800,formal,2026-07-30T22:42:44.227855+00:00
experiments/formal/stage6b_h1/output/manifests/h1_1_release_decision.json,cba61fbf608f1ee43b2174b08982429e942205b35d0df7ce653d4f185bdc7cf6,940,1785431803476852200,formal,2026-07-30T22:42:44.229051+00:00
experiments/formal/stage6b_h1/output/manifests/input_inventory.json,adf5935db97b7cb596250551856cbdac60f93cad7b5375ac9b092f484680157e,10434,1785431573461409400,formal,2026-07-30T22:42:44.229778+00:00
experiments/formal/stage6b_h1/output/statistics/primary_endpoint_contrasts_h1.csv,aef75ebfcc26abd180da6c867f5f5f681f5bb8bc4e7961759727fce772d1a63a,4850,1785431717973092300,formal,2026-07-30T22:42:44.230573+00:00
experiments/formal/stage6b_h1/output/statistics/primary_endpoint_descriptives_h1.csv,67a0101a8a943f8b14d392882388e41d386fc01963c5f01c398c9cf9618b2259,2985,1785431714468664800,formal,2026-07-30T22:42:44.231550+00:00
experiments/formal/stage6b_h1/pip_freeze.txt,65ec32d70c02c9a2efacbf91ef0d02f2acaad55d726d4ece8f5353a49abfb008,653,1785431719970164300,formal,2026-07-30T22:42:44.232490+00:00
experiments/formal/stage6b_h1/reports/_diff_names.txt,8b8e0dcd97480ab081e1c94672c9aa83142cfcaa27af3a06bb85eaee5839036f,2638,1785431258809656000,formal,2026-07-30T22:42:44.233293+00:00
experiments/formal/stage6b_h1/reports/_diff_stat.txt,a01a6a13325e350c7db09450194fcb317abc879d3a465b57f2635b2df436459a,3110,1785431258765298800,formal,2026-07-30T22:42:44.234049+00:00
experiments/formal/stage6b_h1/reports/code_audit_before_changes.md,4d42703914d80eae476b4e9fde43322b742cb186f29e401c8e521b1461310334,2320,1785430116071480500,formal,2026-07-30T22:42:44.234792+00:00
experiments/formal/stage6b_h1/reports/execution_vs_release_commit_diff.md,ed96756f898c46bc4e6a23d9e1b6933124b54ca32d725bc5715ac95aa7426846,1827,1785431318409737300,formal,2026-07-30T22:42:44.235899+00:00
experiments/formal/stage6b_h1/reports/PAPER_CHANGES_REQUIRED_LATER.md,0ea80de268200b35e9408913c453b84ed8a5ea8db014ef4237df3956114a8f9b,1093,1785430116088481300,formal,2026-07-30T22:42:44.238194+00:00
experiments/formal/stage6b_h1/reports/release_archive_validation.json,967694bac219effbf4ed36fb157dedd3121fc26b82b285f3b34174a800634089,318,1785432744083748600,formal,2026-07-30T22:42:44.240452+00:00
experiments/formal/stage6b_h1/reports/stage6b_h1_1_release_report.md,de19e55136f2f27457be1d8c46b45088b19ecc13a1de9415e14a043a15506df2,2839,1785432502813685400,formal,2026-07-30T22:42:44.242678+00:00
experiments/formal/stage6b_h1/reports/stage6b_h1_execution_report.md,39836cfb6274d65ee7b7b000fc38ecb218304c469e423ecab5b70a4cbb98e6c6,2965,1785430487591596500,formal,2026-07-30T22:42:44.244867+00:00
experiments/formal/stage6b_h1/reports/stage6b_h1_status.json,be4ebe621bed405711acc3dd45a1dab3c709a3c54ec00132169b89e91afeda39,1316,1785431720271230300,formal,2026-07-30T22:42:44.247896+00:00
experiments/formal/stage6b_h1/scripts/__pycache__/run_stage6b_h1.cpython-314.pyc,ddb7bb553e5b6c763aa0b297b051b3c5f3f3c9f878bb552501cf3b6d416f42d3,59410,1785432276040574300,formal,2026-07-30T22:42:44.250136+00:00
experiments/formal/stage6b_h1/scripts/package_stage6b_h1_release.py,3c99110e89862351c8caab7460c1109444e99d986f6be2dec302ae8c485ac598,4069,1785431804379569600,formal,2026-07-30T22:42:44.252813+00:00
experiments/formal/stage6b_h1/scripts/run_stage6b_h1.py,637b89fc35561e1af97690cf68bd282a75f1c0320f1bf9710a0455bae9eb72a8,46824,1785431783537548200,formal,2026-07-30T22:42:44.254964+00:00
experiments/formal/stage6b_h1/scripts/validate_stage6b_h1.py,a10441138fc15db85c8403a1a534238c5ae690547f2b2e59878c1dbaeaf7e68a,2989,1785430193373434400,formal,2026-07-30T22:42:44.256955+00:00
experiments/formal/stage6b_h1/scripts/validate_stage6b_h1_release.py,7609244f6b6d09f137624cf19c68ed7b1b0c324dd3aa30c097adb1e218e2c8a0,3904,1785431541976308700,formal,2026-07-30T22:42:44.258700+00:00
