episode,step,min_experience,least_advantaged_is_ego,least_advantaged_index,least_advantaged_reason,least_advantaged_speed,least_advantaged_mobility_score,least_advantaged_collision_penalty,least_advantaged_low_speed_penalty,least_advantaged_risk_penalty,least_advantaged_nearest_distance,scoped_vehicle_count,n_vehicles
2,6,0.48399720621575854,False,2,low_mobility,18.942174261919586,0.6314058087306529,0.0,0.0,0.2948172050297887,35.25913974851056,3,5
2,7,0.5044062237557843,False,2,low_mobility,19.2680864953822,0.6422695498460733,0.0,0.0,0.27572665218057824,36.21366739097109,3,5
2,8,0.5208501793829399,False,2,low_mobility,19.592801562212557,0.6530933854070853,0.0,0.0,0.2644864120482908,36.775679397585456,3,5
2,9,-0.13011446331522153,False,3,low_mobility,8.643839051629659,0.2881279683876553,0.0,0.0,0.8364848634057537,8.175756829712315,4,5
2,10,-0.15004865163797543,False,3,low_mobility,5.524468163805752,0.18414893879352506,0.0,0.0,0.668395180863001,16.580240956849952,4,5
2,11,-0.3120546434152027,False,4,low_mobility,2.848057813842389,0.09493526046141296,0.0,0.0,0.8139798077532313,9.301009612338436,5,5
2,12,-0.5979219274938843,False,4,low_mobility,1.0023348565940136,0.03341116188646712,0.0,1.0,0.6626661787607029,16.866691061964854,5,5
2,13,-0.6468071252063433,False,4,low_mobility,0.022345591447831645,0.0007448530482610548,0.0,1.0,0.6951039565092088,15.244802174539561,5,5
2,14,0.27838583251443016,False,1,risk,20.000540577159004,0.6666846859053002,0.0,0.0,0.77659770678174,11.170114660913002,3,5
2,15,0.27837693932176216,False,1,risk,20.000293033848127,0.6666764344616042,0.0,0.0,0.776598990279684,11.170050486015798,3,5
3,0,0.5919367440048574,False,2,risk,25.710383154756848,0.8570127718252283,0.0,0.0,0.5301520556407417,23.492397217962914,3,5
3,1,0.4947203349611574,False,1,low_mobility,19.02045771040149,0.634015257013383,0.0,0.0,0.2785898441044512,36.07050779477744,3,5
3,2,0.21850466355107478,False,2,low_mobility,15.211484884034498,0.5070494961344832,0.0,0.0,0.5770896651668169,21.14551674165915,4,5
3,3,0.17140806005820414,False,2,low_mobility,14.861428345932637,0.49538094486442125,0.0,0.0,0.6479457696124342,17.602711519378285,4,5
3,4,0.1400479437237283,False,2,low_mobility,16.053701702695356,0.5351233900898452,0.0,0.0,0.7901508927322338,10.492455363388308,5,5
3,5,0.15931831143669656,False,2,risk,17.554463834070482,0.585148794469016,0.0,0.0,0.8516609660646389,7.416951696768056,5,5
3,6,-1.9851086979918473,False,2,collision,13.911267486321188,0.46370891621070626,1.0,0.0,0.897635228405107,5.118238579744649,5,5
4,0,0.6131914170363577,False,2,risk,26.051143492948547,0.8683714497649516,0.0,0.0,0.5103600654571879,24.481996727140604,3,5
4,1,0.2717578984443098,False,2,risk,19.868056816578772,0.6622685605526257,0.0,0.0,0.7810213242166318,10.948933789168407,4,5
4,2,0.1269117609721585,False,2,low_mobility,14.267429940710807,0.4755809980236936,0.0,0.0,0.6973384741030701,15.13307629484649,4,5
4,3,0.009900798996964444,False,2,low_mobility,13.52534370491047,0.45084479016368234,0.0,0.0,0.8818879823334358,5.905600883328211,4,5
4,4,0.07314259434788722,False,2,low_mobility,14.138335324616625,0.4712778441538875,0.0,0.0,0.7962704996120006,10.186475019399971,4,5
4,5,0.20477529175749293,False,2,low_mobility,14.941803603818556,0.49806012012728523,0.0,0.0,0.5865696567395846,20.67151716302077,4,5
4,6,0.19894602419345503,False,3,low_mobility,17.580892887971828,0.5860297629323943,0.0,0.0,0.7741674774778785,11.291626126106076,4,5
