seed,condition,regime,group,opp_worse,opp_better,yield_worse,yield_better,P_yield_given_worse,P_yield_given_better,RY,priority_pairs,priority_to_worse_off,P_priority_worse,burden_opp_worse,burden_opp_better,burden_event_worse,burden_event_better,rate_burden_worse,rate_burden_better,BC,worst_off_samples,recovery_n_k10,Recovery_k10,GapClosure_k10,recovery_n_k25,Recovery_k25,GapClosure_k25,recovery_n_k50,Recovery_k50,GapClosure_k50
900102,mean,wsc,ALL,16743.0,107813.0,2257.0,6769.0,0.13480260407334407,0.06278463636110673,2.147063547489946,56.0,0.0,0.0,16743.0,107813.0,390.0,1060.0,0.023293316609926538,0.009831838461039022,2.369172022326424,5752.0,5579.0,0.0038393887142962315,0.003964528769761915,3824.0,0.011736841127941579,0.011257247541169838,639.0,0.026086668597548136,0.02763930108944381
900102,ggi,original,ALL,1589.0,128598.0,79.0,10954.0,0.04971680302076778,0.0851801738751769,0.5836663716327091,8.0,8.0,1.0,1589.0,128598.0,21.0,616.0,0.013215859030837005,0.004790121152739545,2.758982207220093,891.0,890.0,-0.00019384485582868825,-0.00019384485582868825,412.0,-0.00033606190564762966,-0.00033606190564762966,0.0,nan,nan
900102,ggi,wsc,ALL,24064.0,124437.0,1358.0,9788.0,0.056432845744680854,0.07865827687906331,0.717443198399147,200.0,0.0,0.0,24064.0,124437.0,764.0,1193.0,0.03174867021276596,0.009587180661700298,3.311575251689822,5518.0,5310.0,0.002808837588234423,0.004418666992830729,3553.0,0.010492917581738271,0.012726310811172264,505.0,-0.0048037419228384,0.021123776396385425
900102,maximin,original,ALL,16602.0,110710.0,1609.0,16326.0,0.09691603421274546,0.14746635353626592,0.6572077757989128,18.0,0.0,0.0,16602.0,110710.0,219.0,1154.0,0.013191181785327069,0.010423629301779423,1.265507569717123,4845.0,4673.0,0.002034740035694079,0.002091668732700159,2979.0,0.005801476689052952,0.006324727179149383,229.0,0.016070355263064818,0.017025273171531338
900102,maximin,wsc,ALL,6.0,123850.0,2.0,11997.0,0.3333333333333333,0.09686717803794913,3.441138062293351,0.0,0.0,nan,6.0,123850.0,0.0,1222.0,0.0,0.009866774323778764,0.0,6.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900103,baseline,original,ALL,0.0,123338.0,0.0,3.0,nan,2.4323403979308892e-05,nan,0.0,0.0,nan,0.0,123338.0,0.0,0.0,nan,0.0,nan,0.0,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
900103,baseline,wsc,ALL,11124.0,117626.0,44.0,464.0,0.003955411722402014,0.003944706102392328,1.0027139208173692,0.0,0.0,nan,11124.0,117626.0,36.0,108.0,0.003236245954692557,0.000918164351418904,3.5246913580246915,5883.0,5455.0,0.007813164349140292,0.010478234342300233,3838.0,0.020852987431235252,0.02434359242636447,1138.0,0.04091385394433603,0.05522793340703268
900103,mean,original,ALL,2711.0,116254.0,0.0,84.0,0.0,0.0007225557830268206,0.0,0.0,0.0,nan,2711.0,116254.0,0.0,27.0,0.0,0.00023225007311576375,0.0,1070.0,1070.0,0.001314609037383296,0.001314609037383296,687.0,0.0030423285895661467,0.0030423285895661467,13.0,0.007334901146682705,0.007334901146682705
900103,mean,wsc,ALL,6089.0,122692.0,1585.0,7871.0,0.26030546887830514,0.06415251198122127,4.057603682837888,0.0,0.0,nan,6089.0,122692.0,227.0,225.0,0.037280341599605846,0.0018338603983959834,20.328887429061513,1867.0,1367.0,-0.044965802688640734,-0.006549161825651281,951.0,-0.10845900368415437,0.013559693545494736,776.0,-0.22309601069815904,0.04599218875782695
900103,ggi,original,ALL,10789.0,108386.0,679.0,20007.0,0.06293447029381778,0.18459026073478124,0.3409414453574116,0.0,0.0,nan,10789.0,108386.0,7.0,1740.0,0.0006488089721012142,0.016053733877068994,0.04041483290239207,5456.0,5389.0,0.0015942971453553065,0.0015999136944310395,3354.0,0.003661008456084838,0.003669607420456922,0.0,nan,nan
