metric,condition,excluded_seed,leave_one_out_estimate,full_estimate,shift_from_full,is_seed_910102,is_seed_920102
BC,mean,910102,3.005884894248446,2.7849866752968353,0.22089821895161066,True,False
BC,mean,920102,3.3134992489471284,2.7849866752968353,0.5285125736502931,False,True
BC,mean,920104,2.998035582255587,2.7849866752968353,0.21304890695875178,False,False
BC,mean,920105,2.813245351390745,2.7849866752968353,0.028258676093909862,False,False
BC,mean,920106,3.0497738948021755,2.7849866752968353,0.26478721950534023,False,False
BC,ggi,900101,-1.5689165673976047,-1.6398458916667005,0.07092932426909582,False,False
BC,ggi,900102,-1.913900758683754,-1.6398458916667005,-0.2740548670170535,False,False
BC,ggi,900103,-2.0992032636215794,-1.6398458916667005,-0.4593573719548789,False,False
BC,ggi,900104,-1.6339441547384188,-1.6398458916667005,0.0059017369282816645,False,False
BC,ggi,910101,-1.8011085592581335,-1.6398458916667005,-0.16126266759143304,False,False
BC,ggi,920101,-1.340269445356309,-1.6398458916667005,0.2995764463103914,False,False
BC,ggi,920102,-1.5438386412171357,-1.6398458916667005,0.09600725044956482,False,True
BC,ggi,920104,-0.6084799866119259,-1.6398458916667005,1.0313659050547745,False,False
BC,ggi,920105,-2.2489516481154426,-1.6398458916667005,-0.6091057564487421,False,False
BC,maximin,900101,-0.21930841339814797,-0.23661033009058335,0.017301916692435387,False,False
BC,maximin,900102,-0.12228841457652344,-0.23661033009058335,0.11432191551405992,False,False
BC,maximin,900103,-0.9478009857519358,-0.23661033009058335,-0.7111906556613525,False,False
BC,maximin,900104,-0.24822274835170066,-0.23661033009058335,-0.011612418261117308,False,False
BC,maximin,910102,0.13653351966964247,-0.23661033009058335,0.37314384976022585,True,False
BC,maximin,920101,-0.6080498553126616,-0.23661033009058335,-0.3714395252220783,False,False
BC,maximin,920102,0.23845328352533507,-0.23661033009058335,0.4750636136159184,False,True
BC,maximin,920103,-0.40481782198682864,-0.23661033009058335,-0.1682074918962453,False,False
BC,maximin,920104,0.014241366182326829,-0.23661033009058335,0.2508516962729102,False,False
BC,maximin,920105,-0.20484323090533932,-0.23661033009058335,0.031767099185244035,False,False
GapClosure_k25,baseline,900102,-0.0005517807966111737,-0.0021467494532126426,0.001594968656601469,False,False
GapClosure_k25,baseline,900104,-0.0039949476254019164,-0.0021467494532126426,-0.0018481981721892738,False,False
GapClosure_k25,baseline,910101,-0.0021773538812458726,-0.0021467494532126426,-3.060442803323e-05,False,False
GapClosure_k25,baseline,920101,4.479832233632933e-06,-0.0021467494532126426,0.0021512292854462757,False,False
GapClosure_k25,baseline,920102,0.0021376494491201015,-0.0021467494532126426,0.004284398902332744,False,True
GapClosure_k25,baseline,920105,-0.006539156394982333,-0.0021467494532126426,-0.004392406941769691,False,False
GapClosure_k25,baseline,920106,-0.003906136755600937,-0.0021467494532126426,-0.0017593873023882944,False,False
GapClosure_k25,mean,900102,0.004524813572517471,0.001795249371642356,0.0027295642008751146,False,False
GapClosure_k25,mean,900103,0.0005492328596014656,0.001795249371642356,-0.0012460165120408906,False,False
GapClosure_k25,mean,910101,0.0006432544862521681,0.001795249371642356,-0.001151994885390188,False,False
GapClosure_k25,mean,910102,0.0014796826859018312,0.001795249371642356,-0.0003155666857405249,True,False
GapClosure_k25,mean,920102,0.002031579736106818,0.001795249371642356,0.00023633036446446174,False,True
GapClosure_k25,mean,920104,0.0008269443997349577,0.001795249371642356,-0.0009683049719073983,False,False
GapClosure_k25,mean,920105,0.0017164779226084056,0.001795249371642356,-7.877144903395048e-05,False,False
GapClosure_k25,mean,920106,0.0025900093104157316,0.001795249371642356,0.0007947599387733756,False,False
GapClosure_k25,ggi,900101,0.0014864901154208578,0.00010280290224660499,0.0013836872131742528,False,False
GapClosure_k25,ggi,900102,-0.001517143324575056,0.00010280290224660499,-0.001619946226821661,False,False
GapClosure_k25,ggi,900103,-0.0018913953715227025,0.00010280290224660499,-0.0019941982737693075,False,False
GapClosure_k25,ggi,900104,-0.0013325761537209104,0.00010280290224660499,-0.0014353790559675154,False,False
GapClosure_k25,ggi,910101,0.0062516217718865666,0.00010280290224660499,0.006148818869639962,False,False
GapClosure_k25,ggi,920101,6.793477758115264e-05,0.00010280290224660499,-3.486812466545235e-05,False,False
GapClosure_k25,ggi,920102,-0.0011309233501151411,0.00010280290224660499,-0.0012337262523617462,False,True
GapClosure_k25,ggi,920104,0.00012032550693272552,0.00010280290224660499,1.7522604686120524e-05,False,False
GapClosure_k25,ggi,920105,-0.001129107851668048,0.00010280290224660499,-0.001231910753914653,False,False
GapClosure_k25,maximin,900101,-0.0001472049614426147,-0.00015684329595375712,9.63833451114241e-06,False,False
GapClosure_k25,maximin,900103,0.0015204625913948662,-0.00015684329595375712,0.0016773058873486234,False,False
GapClosure_k25,maximin,900104,0.005599492064906099,-0.00015684329595375712,0.005756335360859856,False,False
GapClosure_k25,maximin,910102,-0.006674284928851518,-0.00015684329595375712,-0.006517441632897761,True,False
GapClosure_k25,maximin,920101,-0.00017590165525983859,-0.00015684329595375712,-1.9058359306081462e-05,False,False
GapClosure_k25,maximin,920102,-0.0006186169574519771,-0.00015684329595375712,-0.00046177366149822,False,True
GapClosure_k25,maximin,920103,0.0014586877398021396,-0.00015684329595375712,0.0016155310357558969,False,False
GapClosure_k25,maximin,920104,-0.00039906994498946694,-0.00015684329595375712,-0.00024222664903570981,False,False
GapClosure_k25,maximin,920105,-0.0019751536116915007,-0.00015684329595375712,-0.0018183103157377435,False,False
