validation_block_id,assignment,script_id,episode_length,terminated,truncated,term_reason,G_A_undiscounted,G_B_undiscounted,G_A_discounted,G_B_discounted,progress_A,progress_B,exit_A,exit_B,collision_component_sum,hard_braking_component_sum,success
validation_002,0,accelerate_insist,18,True,False,collision,-0.884230769230769,-0.8950766470095515,-0.8074695384904588,-0.8178788253218429,0.11576923076923101,0.10492335299044848,0.0,0.0,-2.0,0.0,False
validation_002,0,mainline_bias_success_attempt,114,True,False,success,0.9489230769230769,0.7033147349601144,0.7947332806067015,0.42027175377512255,0.34892307692307706,0.33112723496011615,0.6,0.6,0.0,-0.22781250000000158,True
validation_002,1,maintain_only,21,True,False,collision,-0.897920723244458,-0.8850769230769228,-0.8074193899418926,-0.7951906302761299,0.10207927675554196,0.11492307692307727,0.0,0.0,-2.0,0.0,False
validation_002,1,mutual_yield_decel,400,False,True,truncation,-0.16221939043820743,-0.17004807692307758,-0.15068242509166807,-0.15634089016308136,0.06559310956179411,0.08307692307692308,0.0,0.0,0.0,-0.4809375000000022,False
validation_002,1,accelerate_insist,18,True,False,collision,-0.8950766470095515,-0.884230769230769,-0.8178788253218429,-0.8074695384904588,0.10492335299044848,0.11576923076923101,0.0,0.0,-2.0,0.0,False
validation_002,1,mainline_bias_success_attempt,111,True,False,success,0.931127234960116,0.6957980769230763,0.7755700765174677,0.427411899074447,0.3311272349601161,0.34892307692307684,0.6,0.6,0.0,-0.2531250000000006,True
validation_003,0,maintain_only,70,True,False,success,0.956923076923077,0.9409662013943851,0.7613852331238942,0.7133252886933636,0.3569230769230767,0.34096620139438516,0.6,0.6,0.0,0.0,True
validation_003,0,mutual_yield_decel,400,False,True,truncation,-0.184310897435897,-0.16221939043820746,-0.16709877563594194,-0.15068242509166804,0.10256410256410274,0.06559310956179408,0.0,0.0,0.0,-0.5146875000000013,False
validation_003,0,accelerate_insist,18,True,False,collision,-0.8713807692307689,-0.8933048643821304,-0.7952228171846573,-0.816251768156738,0.12861923076923104,0.10669513561786961,0.0,0.0,-2.0,0.0,False
validation_003,0,mainline_bias_success_attempt,116,True,False,success,0.9569230769230769,0.7131537013943836,0.8058096851784157,0.42242508192749173,0.3569230769230771,0.3409662013943851,0.6,0.6,0.0,-0.22781250000000158,True
validation_003,1,maintain_only,70,True,False,success,0.9409662013943851,0.956923076923077,0.7133252886933636,0.7613852331238942,0.34096620139438516,0.3569230769230767,0.6,0.6,0.0,0.0,True
validation_003,1,mutual_yield_decel,400,False,True,truncation,-0.16221939043820746,-0.184310897435897,-0.15068242509166804,-0.16709877563594194,0.06559310956179408,0.10256410256410274,0.0,0.0,0.0,-0.5146875000000013,False
validation_003,1,accelerate_insist,18,True,False,collision,-0.8933048643821304,-0.8713807692307689,-0.816251768156738,-0.7952228171846573,0.10669513561786961,0.12861923076923104,0.0,0.0,-2.0,0.0,False
validation_003,1,mainline_bias_success_attempt,104,True,False,success,0.9409662013943851,0.6700480769230772,0.7810505775830854,0.43012771171207764,0.3409662013943852,0.3569230769230769,0.6,0.6,0.0,-0.28687499999999955,True
validation_004,0,maintain_only,21,True,False,collision,-0.8836923076923073,-0.8708635655502175,-0.7939380926880574,-0.7817309248350373,0.11630769230769264,0.12913643444978246,0.0,0.0,-2.0,0.0,False
validation_004,0,mutual_yield_decel,400,False,True,truncation,-0.17004807692307758,-0.18438576630969603,-0.15634089016308136,-0.16716981924342836,0.08307692307692308,0.10248923369030367,0.0,0.0,0.0,-0.5400000000000003,False
validation_004,0,accelerate_insist,18,True,False,collision,-0.8803692307692305,-0.869387720585077,-0.8039234241280441,-0.7933962034094274,0.11963076923076951,0.1306122794149231,0.0,0.0,-2.0,0.0,False
validation_004,0,mainline_bias_success_attempt,106,True,False,success,0.9489230769230769,0.676228875871491,0.7947332806067015,0.4301638806829045,0.34892307692307706,0.3631038758714906,0.6,0.6,0.0,-0.28687499999999955,True
validation_004,1,maintain_only,21,True,False,collision,-0.8708635655502175,-0.8836923076923073,-0.7817309248350373,-0.7939380926880574,0.12913643444978246,0.11630769230769264,0.0,0.0,-2.0,0.0,False
