master_seed,checkpoint_step,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,mean_episode_length
64015,300000,0.5625,0.0,0.4375,0.0,64,214.375
64015,325000,0.5,0.0,0.5,0.0,64,229.625
64015,350000,0.4375,0.125,0.4375,0.125,64,198.8125
64015,375000,1.0,0.0,0.0,0.875,64,54.4375
64015,400000,1.0,0.0,0.0,0.375,64,55.5625
64016,0,0.3125,0.0,0.6875,0.0,16,301.9375
64016,25000,0.4375,0.0,0.5625,0.125,16,255.6875
64016,50000,1.0,0.0,0.0,0.625,16,54.0
64016,75000,0.875,0.0625,0.0625,0.25,16,81.875
64016,100000,0.9375,0.0625,0.0,0.125,16,61.0
64016,125000,1.0,0.0,0.0,0.25,16,56.5
64016,150000,0.875,0.125,0.0,0.25,16,51.5625
64016,175000,0.6875,0.0625,0.25,0.0,16,151.5625
64016,200000,0.1875,0.3125,0.5,0.0,64,227.0
64016,225000,0.75,0.125,0.125,0.25,64,95.1875
64016,250000,1.0,0.0,0.0,0.375,64,48.75
64016,275000,0.625,0.25,0.125,0.25,64,119.9375
64016,300000,1.0,0.0,0.0,0.875,64,60.625
64016,325000,0.875,0.125,0.0,0.125,64,60.125
64016,350000,0.8125,0.1875,0.0,0.375,64,61.0
64016,375000,1.0,0.0,0.0,0.0,64,64.1875
64016,400000,1.0,0.0,0.0,0.5,64,75.875
64017,0,0.0,0.0,1.0,0.0,16,400.0
64017,25000,0.875,0.125,0.0,0.25,16,79.0625
64017,50000,0.9375,0.0625,0.0,0.375,16,58.8125
64017,75000,0.6875,0.1875,0.125,0.125,16,95.0625
64017,100000,0.8125,0.1875,0.0,0.375,16,53.75
64017,125000,0.625,0.0,0.375,0.25,16,189.0
64017,150000,0.75,0.0625,0.1875,0.125,16,119.0625
64017,175000,1.0,0.0,0.0,0.125,16,73.25
64017,200000,1.0,0.0,0.0,0.5,64,52.625
64017,225000,1.0,0.0,0.0,0.625,64,62.375
64017,250000,1.0,0.0,0.0,1.0,64,64.1875
64017,275000,0.25,0.1875,0.5625,0.0,64,248.0625
64017,300000,0.875,0.0,0.125,0.625,64,106.75
64017,325000,0.6875,0.125,0.1875,0.375,64,116.625
64017,350000,0.6875,0.0,0.3125,0.125,64,224.0
64017,375000,0.5625,0.0,0.4375,0.125,64,204.625
64017,400000,1.0,0.0,0.0,1.0,64,82.0625
64018,0,0.25,0.75,0.0,0.0,16,25.0
64018,25000,0.125,0.1875,0.6875,0.0,16,292.5625
64018,50000,0.3125,0.0,0.6875,0.0,16,312.0625
64018,75000,0.0,0.0,1.0,0.0,16,400.0
64018,100000,0.8125,0.125,0.0625,0.5,16,102.0625
64018,125000,0.9375,0.0,0.0625,0.5,16,121.375
64018,150000,0.875,0.125,0.0,0.125,16,57.0
64018,175000,0.9375,0.0625,0.0,0.5,16,51.8125
64018,200000,0.6875,0.125,0.1875,0.0,64,117.875
64018,225000,0.75,0.0625,0.1875,0.0,64,138.5625
64018,250000,1.0,0.0,0.0,0.0,64,66.25
64018,275000,0.9375,0.0625,0.0,0.125,64,68.25
64018,300000,0.5,0.0,0.5,0.0,64,234.25
64018,325000,1.0,0.0,0.0,0.0,64,51.6875
64018,350000,1.0,0.0,0.0,0.125,64,51.125
64018,375000,0.9375,0.0625,0.0,0.25,64,48.5625
64018,400000,0.9375,0.0625,0.0,0.125,64,72.5625
64019,0,0.0,0.0,1.0,0.0,16,400.0
64019,25000,0.5,0.0,0.5,0.0,16,262.0
64019,50000,0.375,0.125,0.5,0.0,16,224.4375
64019,75000,0.9375,0.0,0.0625,0.875,16,73.4375
64019,100000,1.0,0.0,0.0,0.875,16,67.9375
64019,125000,0.3125,0.0625,0.625,0.0,16,267.1875
64019,150000,0.6875,0.0,0.3125,0.375,16,160.875
64019,175000,1.0,0.0,0.0,1.0,16,54.25
64019,200000,0.0,0.0,1.0,0.0,64,400.0
64019,225000,0.0,0.0,1.0,0.0,64,400.0
64019,250000,0.75,0.125,0.125,0.5,64,100.6875
64019,275000,0.5,0.0,0.5,0.0,64,288.125
64019,300000,1.0,0.0,0.0,0.875,64,56.0625
64019,325000,1.0,0.0,0.0,0.875,64,60.5625
64019,350000,0.9375,0.0625,0.0,0.875,64,49.3125
64019,375000,0.9375,0.0625,0.0,0.875,64,54.3125
64019,400000,0.375,0.4375,0.1875,0.125,64,103.0
64020,0,0.875,0.125,0.0,0.75,16,58.125
64020,25000,1.0,0.0,0.0,0.5,16,76.875
64020,50000,1.0,0.0,0.0,0.625,16,68.6875
64020,75000,0.8125,0.1875,0.0,0.0,16,45.75
64020,100000,1.0,0.0,0.0,0.5,16,61.0625
