algorithm_mode,checkpoint_count,checkpoint_root,condition,config_hash,end_time,failure_reason,final_step,git_commit,protocol_hash,reward_condition,reward_shaping_enabled,seed,shaping_coefficient,start_time,success
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:17:19.873848+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63003,0.0,2026-07-31T09:46:03.314330+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:13:36.129006+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63004,0.0,2026-07-31T09:46:03.401328+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:16:26.584090+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63005,0.0,2026-07-31T09:46:03.393480+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:17:14.905201+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63006,0.0,2026-07-31T09:46:03.405495+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:17:06.561673+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63007,0.0,2026-07-31T09:46:03.368370+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:17:26.245677+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63008,0.0,2026-07-31T09:46:03.293500+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:14:12.496383+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63009,0.0,2026-07-31T09:46:03.268695+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:17:21.435275+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63010,0.0,2026-07-31T09:46:03.364287+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:16:56.347667+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63011,0.0,2026-07-31T09:46:03.393480+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:13:30.790152+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63012,0.0,2026-07-31T09:46:03.264400+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:40:40.740306+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63013,0.0,2026-07-31T10:13:35.978902+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:42:10.009567+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63014,0.0,2026-07-31T10:13:41.450007+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:44:40.509077+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63015,0.0,2026-07-31T10:14:17.194639+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:46:18.808920+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63016,0.0,2026-07-31T10:14:30.606717+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:47:43.123021+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63017,0.0,2026-07-31T10:16:32.722032+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:47:12.161634+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63018,0.0,2026-07-31T10:16:56.591525+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:46:33.130827+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63019,0.0,2026-07-31T10:17:01.667106+00:00,True
vanilla_dqn,10,C:/thesis_checkpoints/stage7b_a1_double_dqn,vanilla_dqn,3854af15a507e824116f6e3f52efda71fde675b21f1f0500bcd877667dd9228a,2026-07-31T10:47:21.699518+00:00,,300000,3a190d6763120e7f4b60a1f9e2412c0c3c31954c,32f5707e2e9f1ccefcdc48f712e94ff4bd96ae12ea1d1558b68b2c0d3b3afea4,baseline,False,63020,0.0,2026-07-31T10:17:12.082470+00:00,True
