condition,seed,checkpoint,n_episodes,success,collision,truncation,mean_utility,mean_Q_margin,mean_abs_best_Q
double_dqn,63017,10000,16,0.75,0.0625,0.1875,0.8024080337015791,0.04062236866972888,0.89038432363048
double_dqn,63017,25000,16,0.875,0.0,0.125,0.7991534137920573,0.020817765255796445,0.8653782960487874
double_dqn,63017,50000,16,1.0,0.0,0.0,0.9578112604096466,0.01317199612002555,0.7260705952139054
double_dqn,63017,75000,16,0.875,0.125,0.0,0.8986869925384973,0.009730235520420474,0.70468136445446
double_dqn,63017,100000,16,1.0,0.0,0.0,0.9586787091938528,0.01679267938650613,0.7067255981752896
double_dqn,63017,150000,16,0.8125,0.0,0.1875,0.8180267145302599,0.01718633651818619,0.6782039798930392
double_dqn,63017,200000,16,0.75,0.0625,0.1875,0.8463032214021988,0.023360420801804962,0.6626209394218182
double_dqn,63017,250000,16,0.0625,0.0,0.9375,0.6511088038659081,0.017842511356250923,1.248367532883183
double_dqn,63017,300000,16,0.0,0.25,0.75,0.5813005148058902,0.10187234981611422,0.8326285796306665
double_dqn,63018,0,16,0.0,0.0,1.0,0.5975882732037949,0.1316521706420462,0.20485556221101428
double_dqn,63018,10000,16,0.5625,0.4375,0.0,0.7250743277935102,0.041653009526533155,0.7277996140366226
double_dqn,63018,25000,16,0.5,0.25,0.25,0.698501265948218,0.03261829298163421,0.9491867528165476
double_dqn,63018,50000,16,1.0,0.0,0.0,0.9336091989427928,0.010753661492246918,0.7101009115224481
double_dqn,63018,75000,16,1.0,0.0,0.0,0.955157705658131,0.021853214628136976,0.7647241367720039
double_dqn,63018,100000,16,1.0,0.0,0.0,0.9167171069551561,0.0244794249239562,0.7493415911528807
double_dqn,63018,150000,16,0.8125,0.125,0.0625,0.8777334723825376,0.05443443995083093,0.7667561269432346
double_dqn,63018,200000,16,0.875,0.125,0.0,0.8629576185507106,0.027669705025083525,0.7561758066522068
double_dqn,63018,250000,16,0.5,0.0,0.5,0.5209583922203481,0.024123234845695386,0.8397883997824392
double_dqn,63018,300000,16,0.5625,0.25,0.1875,0.7775384296781532,0.019376651703433355,0.7000754635059891
double_dqn,63019,0,16,0.1875,0.8125,0.0,0.5729493801335905,0.08570629460383686,0.07309705708875629
double_dqn,63019,10000,16,0.875,0.125,0.0,0.7947421938591624,0.055288252222328034,0.4700662255654219
double_dqn,63019,25000,16,0.5,0.1875,0.3125,0.6400036792304371,0.037578831557282234,0.8858236271270122
double_dqn,63019,50000,16,0.4375,0.0625,0.5,0.6177010098251221,0.02441269931468297,0.7448949424613874
double_dqn,63019,75000,16,0.8125,0.1875,0.0,0.822733427968216,0.018699497334499673,0.7083898702168507
double_dqn,63019,100000,16,0.9375,0.0625,0.0,0.8608789736770893,0.008338140355705913,0.6859473944463446
double_dqn,63019,150000,16,0.6875,0.25,0.0625,0.7436445190594333,0.016352718923690574,0.7063401976645607
double_dqn,63019,200000,16,1.0,0.0,0.0,0.9407600879823829,0.014081587431760844,0.7538758198620235
double_dqn,63019,250000,16,0.5,0.0,0.5,0.7303179787097082,0.00846370930049507,0.7128561473633014
double_dqn,63019,300000,16,0.875,0.125,0.0,0.869290548728116,0.014585482047637238,0.7551645745001713
double_dqn,63020,0,16,1.0,0.0,0.0,0.9371979648085151,0.08469529445120808,0.0710516987625395
double_dqn,63020,10000,16,0.625,0.375,0.0,0.7657892131011065,0.05281864120939327,0.587832252975265
double_dqn,63020,25000,16,0.6875,0.125,0.1875,0.6308294732057773,0.021670980099763495,0.9142766169721318
double_dqn,63020,50000,16,0.375,0.0,0.625,0.6153215417409666,0.015426584510039774,1.3236873528598974
double_dqn,63020,75000,16,0.1875,0.3125,0.5,0.5849850169699664,0.013719789505420075,0.9826670351487848
double_dqn,63020,100000,16,0.3125,0.1875,0.5,0.5641562398033342,0.029785702927810513,1.259477793376996
double_dqn,63020,150000,16,0.625,0.0,0.375,0.7040963501851777,0.010254357001459706,0.8306541202168801
double_dqn,63020,200000,16,0.75,0.0,0.25,0.7962170587355699,0.01092230126266978,0.6306400114820524
double_dqn,63020,250000,16,0.5625,0.0,0.4375,0.7260105163901927,0.02828123128059882,0.6473306775847157
double_dqn,63020,300000,16,1.0,0.0,0.0,0.9117873619582482,0.012244965896985231,0.7162991390343021
vanilla_dqn,63001,0,16,0.0,0.0,1.0,0.4318889323416353,0.09261639040108999,0.07833166955519115
vanilla_dqn,63001,10000,16,0.5625,0.125,0.3125,0.7776272373777781,0.04008924014839669,1.0256895844254361
vanilla_dqn,63001,25000,16,0.125,0.0,0.875,0.5559150031719581,0.014320968468655163,0.9289158514330668
vanilla_dqn,63001,50000,16,0.5,0.0,0.5,0.6560017105497518,0.01401650779950777,0.8765509832165947
vanilla_dqn,63001,75000,16,0.5,0.1875,0.3125,0.6208965546865668,0.011514128475078175,0.9206329906094167
vanilla_dqn,63001,100000,16,0.5,0.0,0.5,0.5851597229647834,0.007012716463210537,0.807665835746791
vanilla_dqn,63001,150000,16,0.75,0.1875,0.0625,0.7529902615910921,0.010893224338961432,0.7429620260415202
vanilla_dqn,63001,200000,16,0.875,0.125,0.0,0.8760039151334534,0.012733065408120175,0.7553947572692022
vanilla_dqn,63001,250000,16,1.0,0.0,0.0,0.9206246535787826,0.008320498569121662,0.6967872488547497
vanilla_dqn,63001,300000,16,0.4375,0.0625,0.5,0.6935748314015631,0.012820079645878538,0.8222585045695594
vanilla_dqn,63002,0,16,0.0,0.0,1.0,0.6445973725036399,0.06141204359315447,0.027690172819857212
vanilla_dqn,63002,10000,16,0.4375,0.3125,0.25,0.7050512012770037,0.05339209948972518,0.9105709656507318
vanilla_dqn,63002,25000,16,0.4375,0.125,0.4375,0.6893637031428728,0.04518046950627598,1.429729392918024
vanilla_dqn,63002,50000,16,0.0,0.0,1.0,0.457314064161921,0.04072368884051681,2.6660997013992165
vanilla_dqn,63002,75000,16,0.0,0.0,1.0,0.313140199497507,0.012928205784410188,1.747377013619989
vanilla_dqn,63002,100000,16,0.0,0.0,1.0,0.43803040066655025,0.021256432440131864,1.4847320336080156
vanilla_dqn,63002,150000,16,0.0,0.125,0.875,0.42000110512379485,0.013162993769704624,1.0712421186172425
vanilla_dqn,63002,200000,16,0.4375,0.0,0.5625,0.7014467208474362,0.02988131573061505,1.0132877593033218
vanilla_dqn,63002,250000,16,0.125,0.0,0.875,0.5398290734273109,0.01350025654137545,1.6797232314390729
vanilla_dqn,63002,300000,16,0.25,0.0,0.75,0.6223980645605518,0.023195404725842507,1.185329167216861
vanilla_dqn,63003,0,16,0.0,0.375,0.625,0.3910990876894025,0.03886202175844732,0.07564743854476384
vanilla_dqn,63003,10000,16,0.0625,0.0,0.9375,0.6290476673695738,0.09640273592817326,2.4127176984775414
vanilla_dqn,63003,25000,16,0.8125,0.1875,0.0,0.7230706679067578,0.02637011195507156,1.197463646386199
vanilla_dqn,63003,50000,16,0.375,0.0,0.625,0.536387601111016,0.01599015392355177,0.9869025500722792
vanilla_dqn,63003,75000,16,0.125,0.0,0.875,0.3656000039801162,0.0075966927776906935,1.2068151100454099
vanilla_dqn,63003,100000,16,0.125,0.0,0.875,0.49220533938368916,0.005019337086080444,0.8822372180626425
vanilla_dqn,63003,150000,16,0.75,0.0,0.25,0.8411645124182267,0.03622752674354702,0.7341633438877707
vanilla_dqn,63003,200000,16,0.75,0.25,0.0,0.8034060827719682,0.017524029774148762,0.7196449193717294
vanilla_dqn,63003,250000,16,1.0,0.0,0.0,0.9376611244041873,0.004966308538610519,0.7756789603846411
vanilla_dqn,63003,300000,16,0.5625,0.0,0.4375,0.7242240256601673,0.02466661430384707,0.7239462881472665
vanilla_dqn,63004,0,16,0.375,0.0,0.625,0.7112989821921546,0.1026031631852022,0.1192376671434249
vanilla_dqn,63004,10000,16,0.1875,0.1875,0.625,0.6739733515932647,0.04850253566598348,1.101497786831113
