episode,epsilon,episode_reward,episode_length,merge_completed,merge_failed,collision,truncated,time_to_merge,termination_reason,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied
28,0.335,0.49458838405203853,11,1,0,1,0,11,merge_completed,10.13861007967313,9.322545897898891,0.17735614639997527,0.3493606654687449,1,1,0
29,0.3113,0.5262172178072427,11,1,0,1,0,11,merge_completed,9.887574525003451,8.96483480101797,0.7832514736473983,0.060773404524173014,0,1,0
30,0.2875,1.4929224201384592,13,1,0,0,0,13,merge_completed,8.922538116531866,8.176724167205759,1.0,0.0,0,1,0
31,0.2638,0.5440987941262779,11,1,0,1,0,11,merge_completed,9.943128750821295,8.641151436596342,1.0,0.0,0,1,0
32,0.24,1.4756132603323162,14,1,0,0,0,14,merge_completed,8.253006322774107,7.636139110523658,0.602910715890235,0.12386506627389626,0,1,0
33,0.2163,-0.6378026184206,7,0,0,1,0,,collision,10.829052107511298,9.935927442217162,0.6815033908811479,0.08821933125386106,0,0,0
34,0.1925,1.4947375976544572,23,1,0,0,0,23,merge_completed,6.630411623009814,4.57672481116547,0.4576967122875451,0.18601375826025768,0,1,0
35,0.1688,0.3947629435938249,36,1,0,0,0,36,merge_completed,-0.06595768035700485,-4.189083174501275,0.5171243411984654,0.1591417544655842,0,1,0
36,0.145,1.6300274721222627,11,1,0,0,0,11,merge_completed,10.93569093695798,9.22581342916054,0.9184764606363471,0.021246948043504243,0,1,0
37,0.1212,1.490720343858125,13,1,0,0,0,13,merge_completed,9.081092095127874,8.39014725772968,0.8401451826295336,0.043435381859934674,0,1,0
38,0.0975,0.4034480105292715,13,1,0,1,0,13,merge_completed,10.245782237754177,9.52483114279344,0.040030100889332516,0.46151063237967604,1,1,0
39,0.0738,1.343902174799158,10,1,0,0,0,10,merge_completed,10.034114394612562,8.437638715445473,0.12454129350329095,0.3892514714908273,1,1,0
40,0.05,1.1317242743301643,45,1,0,0,0,45,merge_completed,-2.0056516119946073,-4.867892114088159,-10.0,0.5,0,1,0
41,0.05,1.4935038278659623,12,1,0,0,0,12,merge_completed,9.345901444108106,8.526206365288642,1.0,0.0,0,1,0
42,0.05,1.518916891717116,11,1,0,0,0,11,merge_completed,9.9290375269328,8.8817816700126,1.0,0.0,0,1,0
43,0.05,-0.6616589941772315,7,0,0,1,0,,collision,10.196148258999346,9.504607645638634,1.0,0.0,0,0,0
