seed,condition,orig_completion,orig_collision,orig_U_min,orig_gini,wsc_completion,wsc_collision,wsc_U_min,wsc_gini,delta_completion_wsc_minus_orig,delta_collision_wsc_minus_orig,orig_contrast_Umin_vs_baseline,wsc_contrast_Umin_vs_baseline,I_Umin,orig_contrast_gini_vs_baseline,wsc_contrast_gini_vs_baseline,I_Gini
920102,maximin,0.984375,0.015625,0.9842118343460442,0.007843100324831234,0.33984375,0.66015625,0.3385173516887351,0.33168760831563465,-0.64453125,0.64453125,0.08757456151513643,-0.5090563885268015,-0.5966309500419379,-0.040349587392782355,0.2554997702165762,0.2958493576093586
920103,baseline,1.0,0.0,0.9879541967701562,0.0022907295077879,0.96484375,0.03515625,0.9647976456471494,0.01758679514898239,-0.03515625,0.03515625,,,,,,
920103,mean,1.0,0.0,1.0,0.0,0.92578125,0.07421875,0.92578125,0.037109375,-0.07421875,0.07421875,0.012045803229843832,-0.03901639564714943,-0.05106219887699326,-0.0022907295077879,0.01952257985101761,0.02181330935880551
920103,ggi,0.98828125,0.01171875,0.98828125,0.005859375,0.984375,0.015625,0.9843125145035115,0.007824218030350634,-0.00390625,0.00390625,0.00032705322984383223,0.01951486885636211,0.01918781562651828,0.0035686454922121,-0.009762577118631757,-0.013331222610843857
920103,maximin,1.0,0.0,0.9986694289385396,0.00026032723120216644,0.953125,0.046875,0.9524637226972383,0.023597598999847865,-0.046875,0.046875,0.010715232168383437,-0.012333922949911091,-0.02304915511829453,-0.002030402276585733,0.006010803850865474,0.008041206127451208
920104,baseline,0.6484375,0.3515625,0.6523351444780991,0.17481139659214967,0.87109375,0.12890625,0.8710413180649468,0.06446532495360235,0.22265625,-0.22265625,,,,,,
920104,mean,1.0,0.0,0.9990045354077368,0.00018675046768180158,0.8046875,0.1875,0.7891259222932548,0.1029655470494519,-0.1953125,0.1875,0.34666939092963767,-0.08191539577169193,-0.4285847867013296,-0.17462464612446787,0.03850022209584955,0.21312486822031743
920104,ggi,0.78515625,0.21484375,0.784617586468634,0.10754975073515895,0.90234375,0.09765625,0.8978720699364398,0.04961753415306348,0.1171875,-0.1171875,0.13228244199053485,0.026830751871492975,-0.10545169011904187,-0.06726164585699072,-0.014847790800538871,0.05241385505645185
920104,maximin,0.75,0.25,0.7486978888348474,0.12542697823043486,0.90625,0.09375,0.9042074307202947,0.04734784599267479,0.15625,-0.15625,0.0963627443567483,0.03316611265534797,-0.06319663170140033,-0.04938441836171481,-0.017117478960927565,0.032266939400787245
920105,baseline,0.66015625,0.33984375,0.6564026834620033,0.17070065493481512,0.84765625,0.15234375,0.826029361055822,0.08221752559882178,0.1875,-0.1875,,,,,,
920105,mean,0.97265625,0.02734375,0.9720088211339595,0.013848665971421738,0.6640625,0.3359375,0.6634725517339953,0.1681055174445136,-0.30859375,0.30859375,0.3156061376719562,-0.1625568093218267,-0.4781629469937829,-0.1568519889633934,0.08588799184569182,0.2427399808090852
920105,ggi,1.0,0.0,0.9999079051914199,1.7273317363217177e-05,0.99609375,0.00390625,0.9950361302721732,0.002206046562746479,-0.00390625,0.00390625,0.34350522172941667,0.16900676921635116,-0.1744984525130655,-0.17068338161745192,-0.0800114790360753,0.09067190258137661
920105,maximin,0.890625,0.10546875,0.8743863601426962,0.05697019820736796,0.9296875,0.0703125,0.9112291743554101,0.03887320377062535,0.0390625,-0.03515625,0.21798367668069296,0.08519981329958803,-0.13278386338110493,-0.11373045672744717,-0.04334432182819643,0.07038613489925073
920106,baseline,0.9296875,0.0703125,0.9286237884290597,0.03536538500334832,0.796875,0.203125,0.7960888930736658,0.10172330328428962,-0.1328125,0.1328125,,,,,,
920106,mean,0.98046875,0.01953125,0.9776768356235785,0.010439121799732474,0.9921875,0.0078125,0.9918337968357949,0.003972616971721609,0.01171875,-0.01171875,0.04905304719451886,0.19574490376212905,0.1466918565676102,-0.024926263203615847,-0.09775068631256802,-0.07282442310895217
920106,ggi,0.796875,0.203125,0.796875,0.103515625,0.9765625,0.0234375,0.9765044545612693,0.011729674101796015,0.1796875,-0.1796875,-0.13174878842905968,0.18041556148760352,0.3121643499166632,0.06815023999665168,-0.08999362918249361,-0.1581438691791453
920106,maximin,0.73828125,0.26171875,0.7382811839015699,0.13085938739350805,0.9609375,0.0390625,0.9609375,0.01953125,0.22265625,-0.22265625,-0.19034260452748974,0.16484860692633418,0.35519121145382393,0.09549400239015973,-0.08219205328428962,-0.17768605567444934
