seed,step,artifact,path,exists,published,size_bytes,mtime_ns,sha256_recorded,sha256_actual,contains_online_network,contains_target_network,contains_optimizer,contains_replay,contains_rng_state,contains_schedule_state,resumable,availability,sha256_after,unchanged
61003,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61003/ckpt_step_100000.pt,False,False,42117392,nan,99a534c5dd0ecf99757923805abee4526e291ab2c3344100760cc8f76d210d2e,nan,True,True,True,True,True,True,False,missing_local_only,,True
61004,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61004/ckpt_step_010000.pt,False,False,19044880,nan,1ccaef97cde49da30e1e3a44f4c53a814f71c13f84176379e0905f1037c65856,nan,True,True,True,True,True,True,False,missing_local_only,,True
61004,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61004/ckpt_step_025000.pt,False,False,44165648,nan,1d04bfb5fe4fe059d84dda032904fc3d299376fa1fc600808f73b80db75f2dbd,nan,True,True,True,True,True,True,False,missing_local_only,,True
61004,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61004/ckpt_step_050000.pt,False,False,44035472,nan,19733af3e489890fd992f462a0162d6fd59418b3b09ea7181f58edad966df512,nan,True,True,True,True,True,True,False,missing_local_only,,True
61004,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61004/ckpt_step_075000.pt,False,False,44011408,nan,acca4b93bb29c28ff919a5ae859d43ea760ba96da90a839c6950f333b81b993b,nan,True,True,True,True,True,True,False,missing_local_only,,True
61004,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61004/ckpt_step_100000.pt,False,False,44333136,nan,4340b14a0a843d15cefaa5e917b619196bb01c8bac282ca156c742be85fff816,nan,True,True,True,True,True,True,False,missing_local_only,,True
61005,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61005/ckpt_step_010000.pt,False,False,19555728,nan,88e782208525a36f2930b63132961d7ef88cc47f211bd6ecec9a88a3cfa42d96,nan,True,True,True,True,True,True,False,missing_local_only,,True
61005,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61005/ckpt_step_025000.pt,False,False,40811536,nan,e14c0630d14b7ab8d0151639e8fe7319709d7b0cb5d3084ed2556f7f86990138,nan,True,True,True,True,True,True,False,missing_local_only,,True
61005,50000,ckpt_step_050000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61005/ckpt_step_050000.pt,False,False,43875408,nan,7c44ae199979f2327aa1a726b4e6163564bf5f30520336369dd1e3859fea85b7,nan,True,True,True,True,True,True,False,missing_local_only,,True
61005,75000,ckpt_step_075000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61005/ckpt_step_075000.pt,False,False,43608592,nan,cd4ea96587c4e6e47d156c03da5022568bb09f3cd26f7bc5a4de208ba292ea5c,nan,True,True,True,True,True,True,False,missing_local_only,,True
61005,100000,ckpt_step_100000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61005/ckpt_step_100000.pt,False,False,43755856,nan,8677aa97d1dcc19b3ee6d175d3573a8599db91c989ffe1ff9b83bc82f978a37d,nan,True,True,True,True,True,True,False,missing_local_only,,True
61006,10000,ckpt_step_010000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61006/ckpt_step_010000.pt,False,False,19352400,nan,3d60273f201ce7ce5993be23cbdccba8e69acf3d3755fa0d8728756beaf53625,nan,True,True,True,True,True,True,False,missing_local_only,,True
61006,25000,ckpt_step_025000.pt,<missing>:C:/Users/HP/Desktop/毕业项目/thesis/final_new_results_100k/formal_results/100k/stage6a_20260730T094829Z_a89256db_44d5e647/checkpoints/baseline__61006/ckpt_step_025000.pt,False,False,44977488,nan,b94c75618eb045067229a9ca08552c775d709c2098b1bab6594145d00fab285f,nan,True,True,True,True,True,True,False,missing_local_only,,True
